iterations;timeInMSec;bestFitness;averageFitness;mutations;crossovers;
1;0;3.71974046924377E-7;3.608986226904977E-7;0;0;
3;9622;3.742086702801754E-7;3.6323087261396626E-7;61;246;
5;18446;3.764104192511943E-7;3.6623827536021375E-7;102;411;
7;27290;3.7854578155394833E-7;3.6874485400477317E-7;139;579;
10;39933;3.7854578155394833E-7;3.7155701073469195E-7;187;748;
12;49234;3.8085842136621906E-7;3.721552299857284E-7;240;978;
14;57959;3.8085842136621906E-7;3.734553836400886E-7;278;1130;
16;66789;3.8381949061473036E-7;3.751533154357991E-7;322;1298;
19;79969;3.840216575926186E-7;3.785098041923949E-7;382;1543;
21;88678;3.8512982919106906E-7;3.799523113813932E-7;429;1697;
23;97375;3.874417723446394E-7;3.8041128537684385E-7;481;1849;
26;109951;3.9056275406107193E-7;3.8247487075807685E-7;515;2011;
28;119187;3.914676034329835E-7;3.8474187207217277E-7;569;2238;
30;127948;3.915240983865607E-7;3.869546338328476E-7;613;2401;
32;136677;3.9205824856445956E-7;3.877321586531137E-7;659;2559;
35;149741;3.924314724389883E-7;3.8893621607724985E-7;720;2793;
37;158455;3.928405285087909E-7;3.899911221679869E-7;756;2951;
39;167156;3.9348446389551827E-7;3.905497974756415E-7;800;3106;
42;179740;3.9503419890066797E-7;3.9158103586813986E-7;847;3304;
44;189007;3.9503419890066797E-7;3.921389569111096E-7;884;3508;
46;197778;3.968419634025995E-7;3.928202474464546E-7;927;3673;
48;206557;3.968419634025995E-7;3.9355900772614386E-7;970;3837;
51;219615;3.978907334749611E-7;3.951542524921979E-7;1026;4069;
53;228429;3.982167218050824E-7;3.957296598066544E-7;1062;4236;
55;237072;3.982167218050824E-7;3.9596154596345593E-7;1103;4384;
58;249543;3.9915742657139997E-7;3.965415376124444E-7;1154;4597;
60;258864;4.007970089000182E-7;3.9694829230688953E-7;1213;4782;
62;267614;4.0086230291705096E-7;3.974253634011438E-7;1244;4945;
64;276328;4.020782297878698E-7;3.9790212027458876E-7;1289;5102;
67;289453;4.02557204385136E-7;3.993962138102746E-7;1341;5347;
69;298098;4.0375439910605575E-7;4.008933044142009E-7;1377;5494;
71;306866;4.0430791702825296E-7;4.016430041617749E-7;1418;5660;
74;319912;4.051526011323695E-7;4.019987552801613E-7;1480;5894;
76;328545;4.0550096115892854E-7;4.027053661456925E-7;1521;6041;
78;337190;4.062646001340677E-7;4.030505309465698E-7;1563;6189;
81;349785;4.0719958178974203E-7;4.043444738374312E-7;1606;6385;
83;359117;4.080055919614416E-7;4.0520051152052785E-7;1649;6604;
85;367748;4.083207938017559E-7;4.059235456001317E-7;1692;6750;
87;376493;4.0955689548009683E-7;4.0667084781052533E-7;1728;6913;
90;389604;4.1118444722788923E-7;4.0770662800868763E-7;1786;7153;
92;398365;4.12047273359578E-7;4.087451420036966E-7;1817;7320;
95;409493;4.1371867973763933E-7;4.10331054295111E-7;1886;7558;
97;416896;4.1495487407239966E-7;4.107406807255323E-7;1936;7714;
100;428022;4.1567998095188076E-7;4.120043100136145E-7;1999;7951;
103;439092;4.1605340394924577E-7;4.1300521264804094E-7;2061;8179;
106;449775;4.1701630008292837E-7;4.143537880707811E-7;2097;8376;
108;457706;4.1766219932393915E-7;4.149488581392265E-7;2154;8591;
111;468793;4.187305897435127E-7;4.1565929048905657E-7;2219;8823;
114;479946;4.1982448146008936E-7;4.164968906740069E-7;2261;9065;
116;487353;4.206925895757602E-7;4.171622136528141E-7;2297;9222;
119;498509;4.2156877376014376E-7;4.1838417125209305E-7;2353;9466;
122;509657;4.2213382739876574E-7;4.192740245313694E-7;2419;9709;
124;517007;4.22351197015092E-7;4.202048706391537E-7;2454;9857;
127;528155;4.23461817294859E-7;4.2089790613316167E-7;2508;10097;
130;539304;4.2420104278797227E-7;4.215318404795938E-7;2562;10339;
133;549967;4.247571217539962E-7;4.223633523963009E-7;2609;10499;
135;557808;4.255926931522643E-7;4.230250777032211E-7;2671;10730;
138;568909;4.267090872393937E-7;4.2388960501455405E-7;2719;10962;
141;579601;4.277893318923116E-7;4.2495027834257867E-7;2768;11190;
143;587548;4.2801960124324343E-7;4.255908326652017E-7;2814;11376;
146;598626;4.2963564834768994E-7;4.267621983382031E-7;2870;11606;
149;609747;4.3062486941300856E-7;4.2806505442277934E-7;2926;11843;
151;617195;4.3244114670591927E-7;4.288014457672142E-7;2968;12005;
154;628374;4.337919410653747E-7;4.307510570546312E-7;3040;12252;
157;639519;4.3490373884134916E-7;4.3134708305169534E-7;3101;12493;
159;646911;4.351440052516668E-7;4.3197094376598984E-7;3142;12647;
162;658073;4.364827660017636E-7;4.3228576270627184E-7;3203;12891;
165;669276;4.364827660017636E-7;4.3282041819549247E-7;3262;13139;
168;679945;4.37306972702249E-7;4.335454300276882E-7;3304;13303;
170;687825;4.373968727523266E-7;4.3414191588246334E-7;3362;13535;
173;698975;4.379174502834506E-7;4.347728953573682E-7;3424;13777;
176;709622;4.381952734855574E-7;4.350752712164215E-7;3484;13991;
178;717509;4.385931440698658E-7;4.352472471805196E-7;3524;14170;
181;728527;4.385931440698658E-7;4.360092023185945E-7;3584;14389;
184;739629;4.388962881926456E-7;4.3659525283991275E-7;3636;14623;
186;747090;4.399311032697799E-7;4.369109698926304E-7;3679;14790;
189;758240;4.407412386151035E-7;4.378108116559313E-7;3729;15032;
192;769429;4.416633784828148E-7;4.3931935887971497E-7;3785;15279;
194;776872;4.429902551003691E-7;4.3988984435101635E-7;3816;15441;
197;788028;4.437192297353649E-7;4.4094618282260087E-7;3879;15683;
200;799189;4.4513901958665144E-7;4.420606311042556E-7;3932;15923;
203;809901;4.4552939763356246E-7;4.4289170475827115E-7;3973;16099;
205;817805;4.4557731982925226E-7;4.434085647789128E-7;4024;16325;
208;828931;4.468720919798621E-7;4.4361181015900983E-7;4091;16558;
211;839598;4.48411752477431E-7;4.4401211657588157E-7;4152;16772;
213;847528;4.48411752477431E-7;4.4434838430833767E-7;4194;16954;
216;858693;4.4922778193513205E-7;4.4591726711057094E-7;4246;17188;
219;869693;4.5003402707278693E-7;4.47256746533901E-7;4291;17384;
221;877798;4.5073481945411233E-7;4.479831459047747E-7;4336;17565;
224;889270;4.519014204165456E-7;4.48893458861289E-7;4391;17793;
226;896928;4.5192997146243065E-7;4.491012077593318E-7;4423;17945;
229;908494;4.5330636220919047E-7;4.497190047223201E-7;4477;18187;
232;919556;4.547120445035774E-7;4.5043648000691093E-7;4529;18413;
234;927813;4.5520616560363885E-7;4.5119418587980724E-7;4576;18593;
237;939326;4.5726292654857616E-7;4.5200108812210086E-7;4637;18825;
239;947015;4.5726292654857616E-7;4.529481030644754E-7;4678;18981;
242;958568;4.576509490719622E-7;4.5488214500273137E-7;4745;19221;
245;969516;4.5829556214075365E-7;4.556039231195514E-7;4804;19440;
247;977660;4.585811352928082E-7;4.558607421718286E-7;4840;19599;
250;989194;4.6108119667538346E-7;4.5700528170173844E-7;4902;19838;
252;996865;4.611487270127738E-7;4.5790841886062876E-7;4947;19994;
