iterations;timeInMSec;bestFitness;averageFitness;mutations;crossovers;
1;0;1.8881058819546436E-5;1.6902476726699236E-5;0;0;
415;9962;4.631492925408562E-5;4.284124390832188E-5;8286;32967;
846;19973;5.409927860901397E-5;4.977508999450438E-5;16842;67012;
1280;29955;6.784871560149525E-5;6.160711170111238E-5;25478;101538;
1711;39956;7.611282660627454E-5;6.953510054003183E-5;33934;135500;
2148;49969;8.269815521549153E-5;7.435575946140132E-5;42670;170095;
2585;59960;8.728408014585982E-5;7.928946628534734E-5;51251;204656;
3015;69967;9.135578284810807E-5;8.150925649247131E-5;59752;238837;
3451;79963;9.381790660078209E-5;8.660120626815808E-5;68365;273443;
3888;89958;9.561288667851355E-5;8.059381321011645E-5;76978;308122;
4326;99974;9.932550004098121E-5;8.888702784276911E-5;85728;342875;
4756;109942;1.0308307136377112E-4;9.168489843675304E-5;94093;377020;
5191;119962;1.0691919825792104E-4;9.536725004183813E-5;102706;411331;
5624;129959;1.0815403538590057E-4;9.399522213809932E-5;111270;445491;
6057;139964;1.0937884624537261E-4;9.962356325446068E-5;119696;479885;
6494;149963;1.1182107127052494E-4;9.712131737805097E-5;128348;514532;
6932;159973;1.1212389443497267E-4;9.804983562522283E-5;137065;549321;
7369;169961;1.1212389443497277E-4;9.685682040123846E-5;145803;583893;
7802;179964;1.1260262275881484E-4;1.0277630703802611E-4;154291;618236;
8240;189974;1.159014852261665E-4;1.0415437749603972E-4;163066;652972;
8677;199962;1.174965692799435E-4;1.0404565099523737E-4;171776;687565;
9111;209963;1.1819233162550918E-4;1.0450312096806328E-4;180443;721897;
9549;219961;1.1886073974458714E-4;1.0130653399505614E-4;189168;756565;
9988;229975;1.2000894943005102E-4;1.028662765255122E-4;197796;791226;
10426;239975;1.2009890423327067E-4;1.0625387789557052E-4;206552;825976;
10859;249970;1.2009890423327067E-4;1.0166175089856411E-4;215110;860256;
11297;259972;1.2056997014530791E-4;1.0752547427139521E-4;223824;894985;
11735;269974;1.2130838204106329E-4;1.0612752765103294E-4;232543;929577;
12168;279958;1.2174400051862676E-4;1.0789357469473984E-4;241232;963966;
12606;289970;1.2174400051862676E-4;1.0634574088896297E-4;249944;998682;
13043;299956;1.2213682767441106E-4;1.0628239555498798E-4;258490;1033200;
13481;309970;1.223789927682565E-4;1.0888247790183949E-4;267175;1067906;
13913;319968;1.2237899276825652E-4;1.0780517468365501E-4;275692;1102274;
14350;329966;1.2237899276825652E-4;1.1373055266631406E-4;284370;1136982;
14786;339934;1.2237899276825652E-4;1.078065935793541E-4;293005;1171441;
15221;349956;1.2237899276825652E-4;1.0832813218430535E-4;301604;1205702;
15659;359968;1.2273535227918728E-4;1.1112084613775647E-4;310358;1240440;
16096;369959;1.2273535227918728E-4;1.078967915910887E-4;318979;1275120;
16534;379976;1.2273535227918728E-4;1.0836870376888683E-4;327575;1309822;
16967;389959;1.2345694010297445E-4;1.0782279387737361E-4;336113;1344193;
17405;399975;1.2345694010297448E-4;1.0910919579157038E-4;344831;1378782;
17842;409970;1.2345694010297448E-4;1.129358139378483E-4;353517;1413553;
18275;419967;1.2345694010297448E-4;1.0696747229739467E-4;362146;1447957;
18710;429960;1.2345694010297448E-4;1.0780151122418239E-4;370749;1482518;
19146;439974;1.2345694010297448E-4;1.0166398842152039E-4;379357;1516963;
19581;449955;1.2345694010297448E-4;1.0651398667136482E-4;388094;1551385;
20012;459973;1.2345694010297448E-4;1.1093588271389355E-4;396523;1585552;
20447;469966;1.2345694010297448E-4;1.1064226089898584E-4;405134;1619981;
20882;479960;1.2345694010297448E-4;1.0912322621969751E-4;413720;1654543;
21314;489973;1.2345694010297448E-4;1.076653497334603E-4;422282;1688685;
21749;499966;1.2345694010297448E-4;1.0552376253880929E-4;430807;1723122;
22185;509974;1.2345694010297448E-4;1.1300762715716195E-4;439355;1757604;
22619;519938;1.2345694010297448E-4;1.1074578601962577E-4;447964;1791928;
23051;529959;1.2345694010297448E-4;1.0293910146342719E-4;456638;1826127;
23487;539975;1.2345694010297448E-4;1.0645021176086207E-4;465382;1860683;
23922;549968;1.2345694010297448E-4;1.1143442945763584E-4;473983;1895200;
24353;559946;1.2345694010297448E-4;1.0846425079809924E-4;482507;1929375;
24789;569961;1.2345694010297448E-4;1.0889023348434675E-4;491077;1964001;
25225;579973;1.2345694010297448E-4;1.0935885515698395E-4;499692;1998544;
25660;589968;1.2345694010297448E-4;9.753811475801192E-5;508207;2033081;
26092;599973;1.2345694010297448E-4;1.0876666921817295E-4;516747;2067334;
26527;609966;1.2345694010297448E-4;1.0663879322475781E-4;525388;2101714;
26962;619962;1.2345694010297448E-4;1.0969541206221611E-4;533859;2136193;
27396;629967;1.2345694010297448E-4;1.1123180319936453E-4;542409;2170517;
27834;639971;1.2345694010297448E-4;1.1297435714431467E-4;551109;2205229;
28271;649957;1.2345694010297448E-4;1.1016225405095637E-4;559956;2239881;
28709;659967;1.2345694010297448E-4;1.1021075040960532E-4;568652;2274682;
29143;669970;1.2345694010297448E-4;1.0567349861110945E-4;577264;2308957;
29581;679974;1.2345694010297448E-4;1.053426060048248E-4;585825;2343545;
30018;689955;1.2345694010297448E-4;1.0836926261892954E-4;594562;2378122;
30452;699972;1.2345694010297448E-4;1.0930864273358794E-4;603152;2412410;
30889;709957;1.2345694010297448E-4;1.0866685266737997E-4;611644;2446975;
31327;719964;1.2345694010297448E-4;1.0749784349540791E-4;620301;2481569;
31765;729974;1.2345694010297448E-4;1.0756822552113812E-4;629027;2516210;
32199;739974;1.2345694010297448E-4;1.0795873508988615E-4;637594;2550554;
32636;749962;1.2345694010297448E-4;1.1182715190248919E-4;646146;2585121;
33074;759965;1.2345694010297448E-4;1.0869066426590743E-4;654898;2619757;
33509;769971;1.236370310914173E-4;1.0986861025503529E-4;663526;2654097;
33946;779965;1.236370310914173E-4;1.1006407905373522E-4;672095;2688851;
34383;789955;1.236370310914173E-4;1.0837512670449664E-4;680852;2723431;
34821;799969;1.236370310914173E-4;1.1507960419668506E-4;689747;2758199;
35254;809974;1.236370310914173E-4;1.0464990702074086E-4;698214;2792432;
35691;819965;1.236370310914173E-4;1.1195720763901452E-4;706903;2827066;
36128;829955;1.236370310914173E-4;1.0188078740210712E-4;715604;2861675;
36562;839959;1.236370310914173E-4;1.1356746888839766E-4;724297;2895915;
36999;849959;1.236370310914173E-4;1.0999025700526422E-4;732877;2930621;
37436;859949;1.236370310914173E-4;1.1027014521938011E-4;741674;2965236;
37874;869964;1.236370310914173E-4;1.1149304974069373E-4;750369;2999927;
38307;879971;1.236370310914173E-4;1.1004168339837395E-4;758921;3034200;
38744;889964;1.236370310914173E-4;1.0787349373897958E-4;767666;3068721;
39181;899963;1.236370310914173E-4;1.0860207132653292E-4;776360;3103428;
39615;909955;1.236370310914173E-4;1.1081475900396508E-4;785062;3137664;
40052;919955;1.236370310914173E-4;1.0970895074856648E-4;793710;3172493;
40490;929969;1.236370310914173E-4;1.0957848732331414E-4;802302;3207156;
40927;939962;1.236370310914173E-4;1.0926417476462003E-4;810903;3241807;
41362;949973;1.236370310914173E-4;1.076774303388624E-4;819452;3276120;
41799;959964;1.236370310914173E-4;1.0929963108384146E-4;828080;3310467;
42236;969956;1.236370310914173E-4;1.1170374094732602E-4;836792;3345106;
42671;979973;1.236370310914173E-4;1.0798072746583034E-4;845545;3379453;
