iterations;timeInMSec;bestFitness;averageFitness;mutations;crossovers;
1;0;1.4828584528566667E-5;1.4102819639384198E-5;0;0;
13;9744;1.541854091880318E-5;1.4794618398567813E-5;253;1007;
25;19336;1.5672649752952012E-5;1.5139053162065736E-5;497;1972;
38;29675;1.616130273029048E-5;1.5576225325570676E-5;752;2982;
51;39971;1.6389772388674936E-5;1.588902705046519E-5;959;3932;
63;49585;1.6899302464391487E-5;1.6430370178559664E-5;1215;4963;
76;59733;1.7596922087163903E-5;1.715749139233743E-5;1480;6006;
89;69746;1.8008731353309322E-5;1.7562626550881865E-5;1737;7018;
101;79324;1.847566865292424E-5;1.7905422578788055E-5;1985;7976;
114;89706;1.8764972102115962E-5;1.831144795083003E-5;2239;8997;
127;99939;1.9014349368894713E-5;1.8478148548059773E-5;2489;9979;
139;109555;1.914784433568467E-5;1.8494410471273158E-5;2754;10940;
152;119716;1.9501517803130646E-5;1.8905794715215625E-5;2990;11969;
165;129923;1.980463127341402E-5;1.936086735545036E-5;3274;13000;
177;139553;1.9931936423501024E-5;1.95692762959743E-5;3499;13946;
190;149961;2.0174151344062483E-5;1.9698370169638885E-5;3737;14980;
202;159585;2.0339151279759735E-5;1.968577472689285E-5;3965;15949;
215;169951;2.0503542397019934E-5;1.9565293351944715E-5;4236;16912;
227;179635;2.0656923209127378E-5;2.0036245613884875E-5;4493;17920;
239;189261;2.0807739813362904E-5;2.0233251802426153E-5;4730;18854;
252;199682;2.1001502867545206E-5;2.0332301593381895E-5;4999;19869;
265;209916;2.108698338472231E-5;2.0527501627263275E-5;5252;20906;
277;219251;2.108698338472231E-5;2.0440278535230935E-5;5495;21835;
290;229371;2.1417734055139537E-5;2.0783349122816625E-5;5748;22846;
303;239499;2.1635955149530397E-5;2.1127877927232258E-5;6013;23868;
316;249622;2.179816555357965E-5;2.120854932937955E-5;6253;24895;
329;259748;2.179816555357965E-5;2.1225493514972874E-5;6505;25904;
342;269902;2.1956413007154695E-5;2.1271498556477298E-5;6743;26965;
355;279971;2.2143009296963906E-5;2.146300026086549E-5;6979;27927;
367;289326;2.2385166335216956E-5;2.1854074618929346E-5;7228;28942;
380;299392;2.2788522059517238E-5;2.209381397334693E-5;7492;29963;
393;309469;2.2895691351427313E-5;2.222262743676475E-5;7754;30996;
406;319535;2.2898365148321847E-5;2.2391674414335124E-5;8028;32025;
419;329616;2.3192880342364014E-5;2.25484436353234E-5;8272;33063;
432;339673;2.3243197761958967E-5;2.242158914024228E-5;8566;34073;
445;349726;2.3360261485422965E-5;2.2785143460071052E-5;8824;35091;
458;359762;2.338283167026841E-5;2.258545302726207E-5;9083;36098;
471;369797;2.3451585608606156E-5;2.2812509963051657E-5;9332;37125;
484;379840;2.378923499053901E-5;2.298261478300984E-5;9614;38154;
497;389883;2.3910700229638365E-5;2.322910760681108E-5;9860;39192;
510;399929;2.4145246211490103E-5;2.3316433389286506E-5;10111;40217;
523;409929;2.4145246211490103E-5;2.33419062936264E-5;10378;41250;
536;419961;2.4294051310008147E-5;2.3549816683751988E-5;10628;42266;
549;429948;2.442124100932013E-5;2.372204884808267E-5;10887;43270;
562;439925;2.4684507312044752E-5;2.4056784758457302E-5;11165;44367;
575;449911;2.4768378508378873E-5;2.3996298813359478E-5;11395;45371;
588;459955;2.4921323382082747E-5;2.4246064198616327E-5;11648;46395;
601;469963;2.5000462508556442E-5;2.4395720261229842E-5;11930;47464;
614;479946;2.5116174866846563E-5;2.423358579309215E-5;12173;48493;
627;489929;2.516881985920559E-5;2.420697437607624E-5;12440;49521;
640;499922;2.5335813540573518E-5;2.4675888449092487E-5;12701;50548;
653;509894;2.5564032020483952E-5;2.456486469302559E-5;12955;51562;
666;519916;2.5610713063717383E-5;2.4595769754102155E-5;13211;52627;
679;529912;2.574507535326104E-5;2.4743157297820165E-5;13458;53657;
692;539881;2.5748416343652776E-5;2.4744933263859628E-5;13717;54676;
705;549863;2.578179423756273E-5;2.5175211060099013E-5;13953;55719;
718;559848;2.57963461023527E-5;2.520925677909402E-5;14198;56761;
731;569816;2.591563837732858E-5;2.506311897734305E-5;14472;57774;
744;579820;2.591563837732858E-5;2.5083229013375274E-5;14717;58812;
757;589837;2.6045342858288847E-5;2.534233953378941E-5;14979;59827;
770;599811;2.624141577686399E-5;2.513997211421422E-5;15223;60849;
783;609813;2.6250384568133924E-5;2.542526373368986E-5;15471;61898;
796;619787;2.6250384568133934E-5;2.528781037852282E-5;15729;62908;
809;629777;2.632668040568361E-5;2.5523225463328992E-5;15984;63957;
822;639797;2.6381047855220814E-5;2.5473130003638634E-5;16239;65012;
835;649775;2.663281813034419E-5;2.5793964164944707E-5;16494;66029;
848;659821;2.6719949809246308E-5;2.5979806662135854E-5;16740;67054;
861;669811;2.677647162149208E-5;2.5767521442676844E-5;16986;68064;
874;679809;2.677647162149208E-5;2.5925802266797835E-5;17255;69091;
887;689813;2.680400323149063E-5;2.600277461431312E-5;17525;70118;
900;699773;2.680400323149063E-5;2.6098492315249812E-5;17787;71123;
913;709798;2.687001897023336E-5;2.6067435865575088E-5;18023;72180;
926;719788;2.6957781956833014E-5;2.6216702737052934E-5;18285;73206;
939;729846;2.700580192648588E-5;2.5906399824952605E-5;18550;74238;
952;739868;2.7023638116733433E-5;2.6365479581942944E-5;18801;75285;
965;749885;2.7090198441121584E-5;2.616623143027085E-5;19046;76330;
978;759903;2.7090198441121584E-5;2.600527821147447E-5;19269;77376;
991;769884;2.713558403103438E-5;2.5728487812022274E-5;19527;78404;
1004;779881;2.7190108890948052E-5;2.639171808562397E-5;19778;79424;
1017;789909;2.7248327633891508E-5;2.6215369646783545E-5;20010;80462;
1030;799909;2.733562405862946E-5;2.65272052942583E-5;20278;81479;
1043;809927;2.736933605275058E-5;2.6434978013346034E-5;20549;82536;
1056;819919;2.745142607413314E-5;2.6607937367551988E-5;20804;83549;
1069;829925;2.7581489510759542E-5;2.6534049201212424E-5;21044;84572;
1082;839939;2.7683086243333204E-5;2.6378219333066053E-5;21316;85618;
1095;849920;2.770439192184257E-5;2.674456753105054E-5;21580;86641;
1108;859882;2.783378553956909E-5;2.6776734284114346E-5;21830;87653;
1121;869893;2.790782825745756E-5;2.7083329258889618E-5;22043;88685;
1134;879868;2.7991962947598443E-5;2.7091923511980896E-5;22303;89706;
1147;889862;2.8208585565102627E-5;2.7170050735017796E-5;22579;90714;
1160;899873;2.8455946211432216E-5;2.7230714293014197E-5;22811;91738;
1173;909875;2.851853077092432E-5;2.738462501230161E-5;23106;92783;
1186;919878;2.8531077476140875E-5;2.734298922588666E-5;23362;93812;
1199;929889;2.862839088975896E-5;2.7734354357041037E-5;23608;94860;
1212;939910;2.8673440480245724E-5;2.7656193659375856E-5;23858;95902;
1225;949900;2.8767905144161704E-5;2.7710869932678442E-5;24131;96935;
1238;959915;2.884309758715953E-5;2.773439882425164E-5;24413;97998;
1251;969808;2.891115947626858E-5;2.8076446577560962E-5;24646;99024;
