iterations;timeInMSec;bestFitness;averageFitness;mutations;crossovers;
1;0;3.7026683279305306E-7;3.6100796271040293E-7;0;0;
3;8328;3.7310587207453333E-7;3.641897678486829E-7;63;240;
6;19618;3.755988454091495E-7;3.670250971177245E-7;128;476;
8;27094;3.7718754632334635E-7;3.6872936064045855E-7;165;638;
11;38599;3.788480926741235E-7;3.7184230154749606E-7;230;876;
14;49840;3.856865251001708E-7;3.756866821904212E-7;266;1058;
16;57918;3.905453958642342E-7;3.7760564195962006E-7;323;1270;
19;69540;3.928073517195458E-7;3.8172291371923874E-7;381;1506;
21;77299;3.9297798639494496E-7;3.8283278621556876E-7;422;1661;
24;88921;3.9343148819473393E-7;3.849468499439778E-7;481;1893;
26;96766;3.957231508173737E-7;3.870051138558502E-7;523;2047;
29;108484;3.964504050850946E-7;3.89380323763378E-7;593;2282;
32;119668;3.989955526359726E-7;3.9152180579828137E-7;647;2510;
34;127706;4.0134031611971355E-7;3.929786011733889E-7;699;2678;
37;139343;4.0134031611971355E-7;3.947997493065964E-7;763;2915;
39;147121;4.0369008260225733E-7;3.964440396274501E-7;802;3076;
42;158910;4.042102866829129E-7;3.984931982080905E-7;862;3322;
44;166698;4.053005859106337E-7;3.9932335628840514E-7;903;3479;
47;178413;4.058059468426676E-7;4.005107981671062E-7;965;3717;
50;189800;4.070793707888146E-7;4.028309976986739E-7;1010;3909;
52;197979;4.0807312278610065E-7;4.034838508346893E-7;1061;4102;
55;209687;4.1020104363349417E-7;4.043441197313269E-7;1133;4348;
57;217437;4.1109634544393007E-7;4.0512102740796557E-7;1171;4503;
60;229097;4.117197170266856E-7;4.0639665904187063E-7;1225;4736;
62;236869;4.130891767000525E-7;4.073335881163428E-7;1266;4892;
65;248592;4.1508598464663356E-7;4.101920659327897E-7;1324;5138;
68;259934;4.169389973217509E-7;4.1137963033966884E-7;1358;5292;
70;268103;4.181367658459205E-7;4.124623164378636E-7;1411;5534;
73;279784;4.217583087019457E-7;4.1432939839990534E-7;1466;5762;
75;287619;4.218170528823608E-7;4.152746411564393E-7;1504;5924;
78;299338;4.230135621532133E-7;4.163202604018986E-7;1560;6161;
80;307111;4.230135621532133E-7;4.1670465739523926E-7;1592;6313;
83;318797;4.235186693382223E-7;4.180911292165926E-7;1656;6552;
85;326538;4.2451650753665416E-7;4.1731373265145813E-7;1694;6700;
88;338203;4.246011890871383E-7;4.1885675542719145E-7;1757;6937;
91;349889;4.260440742594822E-7;4.1983994917928157E-7;1809;7181;
93;357654;4.260440742594822E-7;4.194936949864274E-7;1853;7345;
96;369202;4.2713726030231534E-7;4.2038132201074963E-7;1904;7574;
98;376939;4.2713726030231534E-7;4.2194071270555353E-7;1940;7731;
101;388542;4.2713726030231534E-7;4.2241253831795005E-7;1988;7970;
104;399760;4.283106118836828E-7;4.225564629585874E-7;2048;8175;
