iterations;timeInMSec;bestFitness;averageFitness;mutations;crossovers;
1;0;1.513063029666628E-5;1.4106906011552244E-5;0;0;
13;9916;1.5403939033673934E-5;1.5099438653509966E-5;229;1044;
25;19736;1.585538367967305E-5;1.54994043794598E-5;459;2001;
37;29488;1.6195092563051523E-5;1.5922702365310475E-5;702;2964;
50;39857;1.6609849906752282E-5;1.6361024920101865E-5;984;3977;
63;49863;1.725465349377397E-5;1.700383196248812E-5;1232;5014;
76;59923;1.763626750267276E-5;1.7315110846891988E-5;1507;6052;
88;69274;1.8112719802382953E-5;1.783944322363637E-5;1756;6997;
101;79749;1.8372261706253968E-5;1.811557141437752E-5;1996;8030;
114;89886;1.8610523432137836E-5;1.834950729620877E-5;2241;9069;
127;99843;1.8895447708738E-5;1.8649847574055225E-5;2507;10104;
140;109931;1.92642816715386E-5;1.898002363258292E-5;2763;11129;
152;119596;1.9692544245208407E-5;1.945054960035495E-5;2999;12098;
164;129322;1.9996424639274484E-5;1.9598091726925488E-5;3234;13048;
177;139863;2.018398102382838E-5;1.9834944254006217E-5;3485;14081;
189;149597;2.048656409180602E-5;1.9998377449864286E-5;3725;15041;
201;159334;2.0734911619512688E-5;2.034941021347881E-5;3957;16006;
214;169909;2.1000021000020982E-5;2.059890331362859E-5;4205;17041;
226;179401;2.1148847705032788E-5;2.0785216289117454E-5;4439;17987;
239;189589;2.1398494316345903E-5;2.0957680585810415E-5;4686;19008;
252;199780;2.1702189533902082E-5;2.1331458861759797E-5;4937;20032;
265;209973;2.2008214345922444E-5;2.1633002327254496E-5;5185;21056;
277;219391;2.2238075499155836E-5;2.1856329637334805E-5;5437;22012;
290;229588;2.2414659545977595E-5;2.202763158169727E-5;5677;23052;
303;239786;2.2719341611655563E-5;2.2349477384110096E-5;5946;24097;
316;249954;2.3038279022126393E-5;2.2629721509848693E-5;6189;25123;
328;259352;2.316253894780919E-5;2.284258586386437E-5;6420;26080;
341;269498;2.339103590009407E-5;2.2969490881178763E-5;6695;27079;
354;279684;2.3740416587334073E-5;2.3309206189150036E-5;6952;28126;
367;289838;2.388460107222749E-5;2.3512106464706013E-5;7211;29134;
380;299945;2.4000084480297355E-5;2.354803516626414E-5;7458;30121;
392;309387;2.406028931054278E-5;2.3672208703594804E-5;7727;31107;
405;319554;2.425918513397134E-5;2.3781575333546783E-5;7992;32134;
418;329708;2.431985867243727E-5;2.3936289684773483E-5;8271;33137;
431;339858;2.4601613767456672E-5;2.4084394269460882E-5;8545;34149;
444;349959;2.468188749304588E-5;2.4289014592129297E-5;8793;35118;
456;359397;2.4998137638745917E-5;2.4446379358048158E-5;9042;36122;
469;369544;2.5231384410738666E-5;2.472808698847892E-5;9323;37161;
482;379776;2.529850976598373E-5;2.485046166206818E-5;9591;38201;
495;389894;2.549146265424247E-5;2.5036005165778228E-5;9871;39246;
508;399960;2.5641604220813178E-5;2.5109327778288117E-5;10111;40224;
520;409349;2.5809288969574455E-5;2.546484526936284E-5;10366;41255;
533;419412;2.5959313448845357E-5;2.552668916707565E-5;10632;42280;
546;429466;2.613180779323676E-5;2.556175121753602E-5;10903;43302;
559;439521;2.6320665723334002E-5;2.5726966682273577E-5;11121;44331;
572;449572;2.6528055806540416E-5;2.5954647081971545E-5;11372;45353;
585;459703;2.6880231901136637E-5;2.6149141014090046E-5;11630;46411;
598;469810;2.7028721800934523E-5;2.6414488302133925E-5;11889;47464;
611;479857;2.7157736478706163E-5;2.6610957663110733E-5;12163;48488;
624;489911;2.753011381499653E-5;2.6866516649186655E-5;12433;49522;
637;499938;2.75507747002338E-5;2.687661757446747E-5;12711;50529;
649;509319;2.7683791306292924E-5;2.717804443160395E-5;12956;51491;
662;519438;2.7814523854291947E-5;2.7276434081008447E-5;13193;52513;
675;529572;2.7995990974092514E-5;2.7450119725291252E-5;13453;53539;
688;539643;2.8140081324835045E-5;2.7426086391827497E-5;13714;54585;
701;549753;2.8144025361144147E-5;2.752988818910905E-5;13971;55596;
714;559835;2.83144787219524E-5;2.791710236432225E-5;14227;56609;
727;569857;2.856788615354554E-5;2.7940373607714644E-5;14488;57615;
740;579890;2.8670185071778708E-5;2.8133295763107822E-5;14734;58633;
753;589932;2.8736854325988545E-5;2.8177828818220888E-5;14992;59666;
765;599275;2.881080520438385E-5;2.811187434833616E-5;15232;60626;
778;609364;2.8812199776878333E-5;2.7910554741922028E-5;15515;61652;
791;619392;2.9064039122521796E-5;2.8276804468935133E-5;15770;62665;
804;629436;2.9218151484428195E-5;2.8588123238442276E-5;16032;63697;
817;639468;2.927712437742195E-5;2.8674974791217577E-5;16266;64714;
830;649497;2.9357349994216616E-5;2.8704345618307992E-5;16525;65720;
843;659577;2.9357349994216616E-5;2.872111612963062E-5;16789;66741;
856;669613;2.9436040781868348E-5;2.891068414121586E-5;17055;67751;
869;679653;2.9436040781868348E-5;2.8946547761562305E-5;17301;68764;
882;689711;2.960666363099673E-5;2.8975441874921357E-5;17572;69772;
895;699770;2.970876497693117E-5;2.9075275076353428E-5;17834;70816;
908;709828;2.9820978700664185E-5;2.9343141798473977E-5;18073;71850;
921;719888;3.000305431092884E-5;2.945722222859696E-5;18321;72867;
934;729957;3.0074120677822543E-5;2.945354218099229E-5;18593;73888;
946;739277;3.0079874097678964E-5;2.9279221561503596E-5;18823;74847;
959;749356;3.0085231460728236E-5;2.9503645288588455E-5;19070;75878;
972;759441;3.032861662687554E-5;2.9608520200351245E-5;19319;76908;
985;769564;3.0348682078132095E-5;2.9586667926983468E-5;19572;77985;
998;779664;3.04917093042402E-5;2.9750996763951124E-5;19828;79025;
1011;789750;3.057284959747787E-5;2.992773299590871E-5;20086;80056;
1024;799837;3.082925770546465E-5;3.009753001836033E-5;20335;81089;
1037;809915;3.0921038798482626E-5;3.0170361218237194E-5;20590;82119;
1050;819923;3.095051507847191E-5;3.0258223655277747E-5;20852;83126;
1062;829280;3.105186966412432E-5;3.0306822794720354E-5;21081;84083;
1075;839372;3.115369613681706E-5;3.0323717916975716E-5;21331;85117;
1088;849449;3.1202844700945696E-5;3.0634406792410526E-5;21585;86152;
1101;859545;3.1402123662819075E-5;3.077730761974911E-5;21838;87209;
1114;869632;3.146159891621085E-5;3.095381401415012E-5;22094;88253;
1127;879718;3.165224063046201E-5;3.097529570423447E-5;22335;89294;
1140;889812;3.177488132081825E-5;3.1084574775569414E-5;22587;90342;
1153;899894;3.178059692859598E-5;3.1031962965643696E-5;22846;91369;
1166;909966;3.203370458261366E-5;3.102378817993195E-5;23103;92383;
1178;919291;3.211017128207566E-5;3.136044025233145E-5;23341;93346;
1191;929295;3.2161207408913015E-5;3.1432089832150785E-5;23604;94358;
1205;939947;3.2226669502613585E-5;3.1610430416725695E-5;23865;95439;
1217;949347;3.235510896877149E-5;3.164592308822152E-5;24092;96453;
1230;959425;3.250622331645393E-5;3.156705615645646E-5;24347;97471;
1243;969514;3.25789991861766E-5;3.178669236822418E-5;24604;98512;
1256;979617;3.2817572366028814E-5;3.2044413376644635E-5;24855;99536;
1269;989693;3.293193693138892E-5;3.222524018401368E-5;25118;100565;
1282;999785;3.30618295887505E-5;3.242173412027656E-5;25389;101604;
