iterations;timeInMSec;bestFitness;averageFitness;mutations;crossovers;
1;1;3.6918016087837764E-7;3.6081016502882493E-7;0;0;
3;8435;3.6981121581206204E-7;3.623010681274033E-7;66;246;
5;16423;3.7251081752788606E-7;3.6417874091690523E-7;107;415;
8;28231;3.745341637704562E-7;3.67507622426797E-7;154;649;
11;39641;3.7867522290906316E-7;3.70386674544786E-7;201;871;
13;47866;3.8016704996375915E-7;3.7159108094227106E-7;250;1039;
16;59696;3.8022212272231785E-7;3.7298523396381833E-7;313;1277;
18;67628;3.8617651804251486E-7;3.7355350928590637E-7;347;1439;
21;79525;3.87361809642814E-7;3.7722311942740665E-7;399;1678;
23;87244;3.87361809642814E-7;3.7955011156997023E-7;432;1826;
26;99087;3.8910566397768705E-7;3.8125082058727686E-7;487;2065;
28;107038;3.8943824778958693E-7;3.817332117986121E-7;537;2219;
31;118834;3.901274655665697E-7;3.8176386032497623E-7;586;2460;
33;126728;3.918024582156384E-7;3.8314081942268107E-7;626;2613;
36;138663;3.941601546810582E-7;3.853186503121744E-7;691;2856;
38;146568;3.941601546810582E-7;3.86512483077094E-7;731;3014;
41;158406;3.941601546810582E-7;3.869523506959526E-7;792;3240;
44;169880;3.941601546810582E-7;3.880030601326857E-7;821;3402;
46;178198;3.9636457581974717E-7;3.895146434710738E-7;883;3621;
49;189659;3.981482919239199E-7;3.9127248933130086E-7;937;3836;
51;197911;3.994489840933819E-7;3.9293950397972544E-7;984;4008;
54;209827;3.999786571388549E-7;3.942117047033332E-7;1038;4234;
56;217791;4.009359448697036E-7;3.950435389784917E-7;1068;4396;
59;229630;4.0111352322956747E-7;3.965277005424262E-7;1128;4632;
61;237519;4.0189976410895216E-7;3.968371156083085E-7;1163;4797;
64;249464;4.0257172479520564E-7;3.981641137197596E-7;1217;5041;
66;257373;4.0291169779172965E-7;3.9883883904893454E-7;1259;5194;
69;269204;4.0506083001014634E-7;3.9999719363347706E-7;1322;5411;
71;277075;4.067915641518026E-7;4.0136011729474496E-7;1355;5571;
74;288938;4.091780937832914E-7;4.037250587018087E-7;1399;5811;
76;296911;4.104878327711975E-7;4.050571339255315E-7;1442;5979;
79;308808;4.1127048939296397E-7;4.071835019066535E-7;1498;6219;
81;316721;4.1269104190539224E-7;4.0787616297441503E-7;1536;6386;
84;328458;4.130915315822927E-7;4.090004480059076E-7;1599;6620;
87;339875;4.1435017296633483E-7;4.0904994519819685E-7;1652;6797;
89;348092;4.159282207713715E-7;4.098512565830001E-7;1707;7007;
92;359859;4.1937966869173867E-7;4.1073915885976936E-7;1776;7243;
94;367657;4.1977312773629077E-7;4.1141078933336507E-7;1810;7393;
97;379338;4.2011564103134996E-7;4.1277359924556294E-7;1873;7626;
99;387170;4.203601612232549E-7;4.1336523143877324E-7;1904;7786;
102;398814;4.204276017783741E-7;4.1496319104682106E-7;1964;8013;
104;406645;4.213972724471586E-7;4.157121835205894E-7;2009;8176;
107;418340;4.2286373469867593E-7;4.168882006898793E-7;2060;8427;
110;429884;4.237238940530942E-7;4.1818115252452266E-7;2122;8654;
112;437563;4.2453024030788973E-7;4.192353594806445E-7;2166;8810;
115;449126;4.2855301303623954E-7;4.1923911957891247E-7;2214;9057;
117;456875;4.293639239672055E-7;4.2083469106868576E-7;2248;9221;
120;468465;4.304976966651242E-7;4.223024950301285E-7;2292;9462;
123;479658;4.3105859974407244E-7;4.236106801411422E-7;2353;9685;
125;487712;4.3152638563769676E-7;4.2610307450706496E-7;2397;9851;
128;499224;4.3210416406684014E-7;4.280656212593658E-7;2458;10084;
