iterations;timeInMSec;bestFitness;averageFitness;mutations;crossovers;
1;0;9.79255548388493E-8;9.332684926621263E-8;0;0;
2;9436;9.797736507316606E-8;9.377517359498547E-8;204;734;
3;19351;9.880432928953561E-8;9.425632262310347E-8;317;1180;
4;28663;9.880432928953561E-8;9.456532976305069E-8;430;1577;
5;37979;9.899227840429991E-8;9.477791443582602E-8;541;1985;
6;47301;9.899227840429991E-8;9.507590041351429E-8;652;2389;
7;56592;9.916524678560811E-8;9.517243891951169E-8;754;2766;
8;65904;9.949608219251955E-8;9.529227082485713E-8;846;3157;
9;75258;1.007565405604522E-7;9.548312241747074E-8;950;3560;
10;84573;1.007565405604522E-7;9.54898554266179E-8;1052;3944;
11;93929;1.012242362808515E-7;9.569544371977266E-8;1160;4349;
12;103282;1.012242362808515E-7;9.597676196005578E-8;1244;4742;
13;112652;1.012242362808515E-7;9.62246686455026E-8;1349;5151;
14;121966;1.012242362808515E-7;9.6210888309451E-8;1457;5555;
15;131310;1.012242362808515E-7;9.63411929275588E-8;1578;5967;
17;149948;1.0338609091090486E-7;9.655272359813673E-8;1792;6750;
18;157951;1.0338609091090486E-7;9.678404066491157E-8;1890;7156;
19;165944;1.0338609091090486E-7;9.685255637608826E-8;1976;7546;
20;174007;1.0338609091090486E-7;9.687300404715391E-8;2077;7953;
22;189529;1.0338609091090486E-7;9.727185579549821E-8;2239;8609;
23;198215;1.03783823277736E-7;9.749620627331607E-8;2367;9138;
24;206306;1.03783823277736E-7;9.759609642220717E-8;2466;9538;
25;214424;1.03783823277736E-7;9.760064894508484E-8;2566;9936;
26;222570;1.03783823277736E-7;9.770701398646091E-8;2672;10351;
28;238868;1.0391592619641524E-7;9.816077769343129E-8;2869;11167;
29;246989;1.0391592619641524E-7;9.84778136966457E-8;2980;11560;
30;255175;1.0393276381643188E-7;9.87373903198173E-8;3083;11964;
31;263289;1.0407571966538824E-7;9.90198892321851E-8;3188;12357;
33;279552;1.0407571966538824E-7;9.915709516622935E-8;3382;13161;
34;287694;1.0407571966538824E-7;9.912251711536862E-8;3471;13575;
35;295839;1.0407571966538824E-7;9.912565232577515E-8;3563;13978;
36;303938;1.0407571966538824E-7;9.936757408922232E-8;3658;14375;
37;312599;1.0407571966538824E-7;9.940031611407028E-8;3753;14767;
39;329494;1.0407571966538824E-7;9.941723376524384E-8;3935;15505;
40;338799;1.0407571966538824E-7;9.948082696121371E-8;4052;15978;
41;347535;1.0407571966538824E-7;9.944803375420473E-8;4172;16377;
42;356212;1.0407571966538824E-7;9.958000133966263E-8;4271;16767;
43;364930;1.0407571966538824E-7;9.962087050381878E-8;4356;17171;
44;373593;1.043368008625732E-7;9.968014011321163E-8;4455;17562;
45;382309;1.043368008625732E-7;9.975766306574137E-8;4559;17965;
47;399734;1.043368008625732E-7;1.0000516896903414E-7;4767;18778;
