iterations;timeInMSec;bestFitness;averageFitness;mutations;crossovers;
1;1;2.524997475002525E-5;2.3538076834299852E-5;0;0;
88;9941;3.3921302578019E-5;3.3056010844039164E-5;1801;7028;
177;19866;4.114549045424621E-5;3.956605735970961E-5;3599;14146;
267;29857;4.813246053138236E-5;4.552296132600192E-5;5429;21335;
357;39898;5.2787162162162165E-5;5.1185382422602414E-5;7187;28502;
448;49878;5.6856947919035704E-5;5.479760199052296E-5;9044;35716;
539;59873;6.160670280926565E-5;5.9526291071629424E-5;10846;42924;
630;69918;6.510416666666667E-5;6.31685277826416E-5;12620;50080;
722;79925;6.84369011771147E-5;6.583016056116159E-5;14489;57377;
814;89935;7.094211123723042E-5;6.81653371665826E-5;16289;64676;
908;99944;7.41399762752076E-5;7.111052192975141E-5;18189;72089;
1000;109876;7.687576875768758E-5;7.288866959758678E-5;19956;79353;
1092;119867;7.85175879396985E-5;7.498565897406652E-5;21807;86653;
1185;129943;8.21287779237845E-5;7.885362127764288E-5;23596;93992;
1277;139946;8.330556481172943E-5;7.885692558781559E-5;25391;101197;
1369;149942;8.403361344537815E-5;8.095923728585806E-5;27263;108509;
1462;159905;8.520790729379687E-5;8.105208871688423E-5;29116;115889;
1554;169902;8.719916288803627E-5;8.28965420029331E-5;30902;123223;
1644;179864;8.890469416785207E-5;8.418380628483945E-5;32699;130354;
1741;189913;9.194556822361162E-5;8.824650456233502E-5;34634;138026;
1836;199947;9.338812103100486E-5;8.957290709885443E-5;36474;145569;
1929;209874;9.46611132146914E-5;9.107926048524093E-5;38329;152907;
2025;219878;9.567546880979717E-5;9.202864977287845E-5;40271;160482;
2119;229892;9.645061728395061E-5;9.266402481302812E-5;42104;167900;
2212;239929;9.765625E-5;9.298471481798893E-5;43971;175230;
2303;249891;9.881422924901186E-5;9.416684718346705E-5;45722;182428;
2394;259852;1.0229132569558102E-4;9.661034051868891E-5;47524;189624;
2486;269865;1.0279605263157894E-4;9.620534919602366E-5;49333;196905;
2578;279884;1.0382059800664452E-4;9.708181095009878E-5;51206;204114;
2670;289947;1.0526315789473685E-4;9.983387013631606E-5;53018;211407;
2761;299941;1.0579771476936098E-4;1.0005737205101395E-4;54906;218572;
2853;309868;1.0706638115631691E-4;1.0274347519071213E-4;56658;225920;
2944;319858;1.0808473843493298E-4;1.006300052236893E-4;58461;233060;
3037;329871;1.0998680158380995E-4;1.042434436329146E-4;60268;240450;
3130;339914;1.1066843736166445E-4;1.0463361756525464E-4;62107;247772;
3222;349941;1.1096316023080337E-4;1.0571677375969607E-4;63910;254992;
3314;359941;1.1195700850873264E-4;1.0454500253593717E-4;65712;262276;
3406;369900;1.1307100859339665E-4;1.06210061498896E-4;67563;269580;
3498;379884;1.150483202945237E-4;1.1060642771993867E-4;69301;276799;
3589;389861;1.159017153453871E-4;1.0929567025050709E-4;71168;283966;
3681;399893;1.1693171188026193E-4;1.1280723345261467E-4;72958;291336;
3774;409875;1.1737089201877934E-4;1.1171731404030945E-4;74750;298711;
3866;419888;1.17813383600377E-4;1.0930833579313187E-4;76627;306041;
3958;429901;1.1961722488038278E-4;1.1133261083548598E-4;78419;313337;
4050;439906;1.2100677637947725E-4;1.152185975824983E-4;80275;320621;
4143;449947;1.2183235867446393E-4;1.1550671229957043E-4;82072;327960;
4238;459914;1.2212994626282364E-4;1.1728423046222742E-4;83954;335517;
4332;469883;1.249375312343828E-4;1.1916507913706191E-4;85774;342986;
4425;479876;1.2632642748863063E-4;1.1957187619773309E-4;87620;350369;
4517;489943;1.278772378516624E-4;1.2165303843211367E-4;89398;357626;
4609;499936;1.3027618551328816E-4;1.2309788706423572E-4;91240;364932;
4702;509952;1.3137151865475564E-4;1.2442644862056208E-4;93062;372197;
4795;519887;1.315097317201473E-4;1.2383905402160348E-4;94902;379686;
