iterations;timeInMSec;bestFitness;averageFitness;mutations;crossovers;
1;0;3.7135128792053747E-7;3.6110691267809927E-7;0;0;
3;9181;3.7246134074759867E-7;3.6440640146188795E-7;58;243;
5;17704;3.7467679443020447E-7;3.661296835788326E-7;98;411;
8;29779;3.7765813735834314E-7;3.686992535780047E-7;143;593;
10;38634;3.789320164889993E-7;3.711111554870263E-7;206;785;
12;47063;3.8136198551693994E-7;3.722609060779537E-7;243;943;
15;59744;3.84392850723496E-7;3.736246751338415E-7;303;1186;
17;68072;3.852163517561515E-7;3.751025704204582E-7;341;1331;
19;76551;3.852163517561515E-7;3.760740914332222E-7;395;1496;
22;89242;3.8927852208696274E-7;3.774112216981088E-7;459;1742;
24;97600;3.900055614793063E-7;3.811639163670599E-7;507;1892;
27;109655;3.918473494387282E-7;3.850141935841343E-7;546;2094;
29;118621;3.920463210569251E-7;3.861691213749606E-7;604;2289;
31;126950;3.925153909209931E-7;3.8809219101142884E-7;643;2438;
34;139546;3.949628960006611E-7;3.8915226688486305E-7;705;2675;
36;147998;3.9578467160795924E-7;3.908047385339037E-7;748;2841;
38;156387;3.957846716079593E-7;3.927860577685084E-7;789;2999;
41;168983;3.974768803597772E-7;3.940183415682261E-7;852;3236;
43;177318;3.974768803597772E-7;3.9510855287472985E-7;888;3386;
46;189960;3.9963342425260187E-7;3.9649199215888644E-7;936;3632;
48;198373;4.0033237194848633E-7;3.9736155812899284E-7;984;3792;
50;206774;4.006379117085391E-7;3.9824950773989495E-7;1039;3950;
53;219407;4.0348748761091675E-7;3.999340274701128E-7;1101;4188;
55;227801;4.037688429834224E-7;4.0080154015443493E-7;1139;4348;
58;239830;4.043308034085408E-7;4.02308559202515E-7;1179;4526;
60;248722;4.052526251657185E-7;4.029837655539086E-7;1237;4740;
62;257075;4.052526251657185E-7;4.033250350443492E-7;1277;4893;
65;269682;4.063924888264415E-7;4.0417437592897575E-7;1345;5129;
67;278058;4.072564299070542E-7;4.045737051750506E-7;1391;5287;
69;286390;4.079357869909421E-7;4.052778173691431E-7;1415;5438;
72;298883;4.0868107256549116E-7;4.060106181215765E-7;1472;5664;
74;307261;4.0956749672346064E-7;4.066035166345994E-7;1512;5822;
77;319894;4.1137128973949484E-7;4.080080745676965E-7;1563;6071;
79;328261;4.1137128973949484E-7;4.0852677412176545E-7;1611;6229;
82;339770;4.1225002601297616E-7;4.093922144950038E-7;1660;6427;
84;347371;4.1239684717661543E-7;4.099335871657002E-7;1719;6627;
87;358141;4.134665732121957E-7;4.1092427636329394E-7;1789;6872;
90;368870;4.134665732121957E-7;4.11249901718446E-7;1857;7108;
93;379556;4.140144212815332E-7;4.114792638201916E-7;1906;7337;
96;389798;4.1504884087235005E-7;4.1173256942163473E-7;1951;7522;
98;397423;4.1522835026371576E-7;4.1183682406612805E-7;2014;7729;
101;408148;4.155526738362802E-7;4.126164404818658E-7;2075;7965;
104;418816;4.1677565350005655E-7;4.136737829411759E-7;2138;8193;
107;429536;4.1724824117348805E-7;4.147073899799724E-7;2205;8430;
110;439824;4.180590122068218E-7;4.1564270262268943E-7;2253;8621;
112;447473;4.1813673087825136E-7;4.16096641464593E-7;2301;8839;
115;458256;4.195492849160034E-7;4.1683410019403413E-7;2347;9086;
118;468986;4.1988931717599226E-7;4.1741417881568637E-7;2400;9324;
121;479661;4.212686404001177E-7;4.1838149769354083E-7;2457;9553;
124;489878;4.221766346510422E-7;4.1943017502154613E-7;2510;9720;
126;497550;4.231317674637051E-7;4.1997254519974804E-7;2572;9946;
129;508299;4.2371010568092686E-7;4.211553131901756E-7;2629;10188;
132;519054;4.2480046272664815E-7;4.2179142723401033E-7;2679;10429;
135;529783;4.254821606392578E-7;4.2233498086673314E-7;2735;10665;
137;536969;4.25864197699107E-7;4.230942732204303E-7;2769;10828;
140;547787;4.265101294876221E-7;4.239300185794408E-7;2823;11078;
143;558427;4.278287545246103E-7;4.248549101380614E-7;2877;11300;
146;569153;4.282289555230269E-7;4.252310249704494E-7;2943;11535;
149;579895;4.2843866155076587E-7;4.2638911711837007E-7;3006;11774;
151;587067;4.2843866155076587E-7;4.2624061211465563E-7;3043;11935;
154;597845;4.28823638131169E-7;4.268320129512658E-7;3088;12180;
157;608523;4.295207553448912E-7;4.2758442707152043E-7;3147;12409;
160;619250;4.307990659242332E-7;4.2841673447102616E-7;3204;12646;
163;629530;4.312898732878976E-7;4.29051087456579E-7;3265;12881;
165;637151;4.317463058706701E-7;4.294905187471467E-7;3310;13043;
168;647875;4.324886138722628E-7;4.302144873183472E-7;3372;13279;
171;658645;4.3406922536006033E-7;4.308560261978617E-7;3425;13523;
174;669380;4.3406922536006033E-7;4.3129205982707706E-7;3490;13760;
177;679712;4.351198833600228E-7;4.321177481693076E-7;3547;13972;
179;687342;4.360282846315907E-7;4.329182893410858E-7;3594;14165;
182;698053;4.367949801424267E-7;4.3398106083917476E-7;3657;14398;
185;708842;4.3764718074688527E-7;4.3500159054288355E-7;3712;14645;
188;719629;4.379538899371074E-7;4.355485590769537E-7;3776;14890;
190;726842;4.3829760302053646E-7;4.361327899728554E-7;3810;15053;
193;738210;4.395134550891094E-7;4.370095636282229E-7;3855;15301;
196;749532;4.398965398529984E-7;4.376021731597197E-7;3914;15544;
198;756998;4.4054625621148224E-7;4.3775664549013983E-7;3952;15692;
201;768310;4.4115838309452784E-7;4.382750383032078E-7;4010;15930;
204;779601;4.4238783256505266E-7;4.3931583422589227E-7;4063;16169;
206;787086;4.4302248011249937E-7;4.4025909851721E-7;4097;16319;
209;798438;4.4302248011249937E-7;4.4098514825735705E-7;4150;16563;
212;809715;4.44789324202224E-7;4.410962929904102E-7;4208;16797;
214;817226;4.4511373724259505E-7;4.414263488127746E-7;4241;16953;
217;828456;4.454384651259545E-7;4.42149950424044E-7;4308;17180;
220;839770;4.4649682165702497E-7;4.4333866490238493E-7;4357;17420;
222;847282;4.469961367911883E-7;4.4393063740206405E-7;4384;17578;
225;858574;4.4750926635062394E-7;4.4457556822703807E-7;4460;17815;
228;869958;4.487922641138885E-7;4.4560155919986363E-7;4523;18066;
230;877545;4.498177878105143E-7;4.460017235633104E-7;4571;18233;
233;888789;4.505539154892415E-7;4.473367123927068E-7;4636;18461;
236;899532;4.510133232041753E-7;4.483437607888254E-7;4683;18681;
238;907643;4.518959883656668E-7;4.4825211470188956E-7;4720;18862;
241;918943;4.518959883656668E-7;4.4858632813589965E-7;4772;19101;
244;929731;4.521061773165857E-7;4.488823221518669E-7;4828;19297;
246;937791;4.526597153223047E-7;4.492205079771291E-7;4876;19505;
249;949011;4.5269356746886083E-7;4.5027215449026807E-7;4926;19737;
252;959751;4.540797750961042E-7;4.5132019501218114E-7;4969;19928;
254;967751;4.5458310229147173E-7;4.523100106229108E-7;5022;20133;
257;979027;4.548509489828261E-7;4.5302309535416954E-7;5084;20375;
260;989773;4.551059796192624E-7;4.533103813456491E-7;5141;20564;
262;997781;4.56430304233619E-7;4.538847530530435E-7;5198;20774;
