iterations;timeInMSec;bestFitness;averageFitness;mutations;crossovers;
1;0;1.4632890054317298E-5;1.4054099570653905E-5;0;0;
12;9493;1.5322744499671016E-5;1.481278964050768E-5;243;959;
24;19604;1.555467343274221E-5;1.5174433822133042E-5;508;1901;
36;29698;1.5929334921594225E-5;1.569277865727369E-5;732;2845;
48;39797;1.633571061484674E-5;1.6028167093983994E-5;986;3788;
60;49939;1.672243599069565E-5;1.641045216096506E-5;1213;4741;
71;59208;1.7046485082961852E-5;1.666547376547081E-5;1438;5598;
83;69317;1.7404895300852326E-5;1.7061149772218273E-5;1680;6569;
95;79385;1.768578653467882E-5;1.733067760174946E-5;1915;7508;
107;89523;1.8002655751776513E-5;1.7739465825792416E-5;2134;8466;
119;99603;1.8364096868407283E-5;1.8030627058189327E-5;2338;9401;
131;109674;1.8642762171300138E-5;1.835662795669383E-5;2589;10337;
143;119732;1.891213610686115E-5;1.8527948342001723E-5;2837;11267;
155;129792;1.9176359997039175E-5;1.8826741461019602E-5;3069;12217;
167;139866;1.9430190240992666E-5;1.907369886702139E-5;3297;13177;
179;149908;1.9722722193229835E-5;1.9368111053767807E-5;3543;14107;
191;159874;1.9974033756117058E-5;1.9640403577004455E-5;3780;15043;
203;169922;2.0137823262407895E-5;1.9775304283670796E-5;4037;15935;
214;179222;2.0275413101404234E-5;1.9941845338573024E-5;4301;16853;
228;189790;2.041888943293884E-5;2.0106431652236724E-5;4586;17951;
242;199843;2.05696899036968E-5;2.0284022312355906E-5;4844;19052;
256;209893;2.0850430686496244E-5;2.0411441122853382E-5;5106;20147;
270;219947;2.1091208509374617E-5;2.0814438472832954E-5;5407;21246;
284;229917;2.1135009170480466E-5;2.0801309914575485E-5;5654;22296;
297;239330;2.136993233424623E-5;2.0953908965723037E-5;5932;23355;
311;249383;2.1523381925955262E-5;2.1122855176435605E-5;6231;24460;
325;259437;2.1674418161081665E-5;2.124189920042434E-5;6521;25556;
339;269489;2.1761705839187913E-5;2.1440229949874657E-5;6807;26662;
353;279552;2.2002422906810483E-5;2.164916442395571E-5;7061;27780;
367;289618;2.224159712460629E-5;2.1924976978810026E-5;7339;28901;
381;299675;2.2572833504585877E-5;2.2024724500921104E-5;7631;30005;
395;309740;2.2775837023398517E-5;2.2389692769180036E-5;7897;31125;
409;319755;2.2975449353838447E-5;2.248111956493582E-5;8190;32199;
423;329818;2.309585101513191E-5;2.2733749532611847E-5;8477;33324;
437;339854;2.3292941819355764E-5;2.288514538579972E-5;8750;34415;
451;349896;2.3352035199923755E-5;2.2940132041474492E-5;9028;35507;
465;359911;2.3736641018434816E-5;2.3133958500187254E-5;9298;36575;
478;369361;2.401677715985277E-5;2.3517055573277976E-5;9567;37631;
492;379482;2.4064886635132032E-5;2.3410415647774677E-5;9869;38760;
506;389570;2.417032927722981E-5;2.375103416816874E-5;10161;39857;
520;399716;2.4411690465623672E-5;2.3933696238267783E-5;10444;40954;
534;409830;2.4694053029984996E-5;2.4313529380881375E-5;10710;42070;
548;419951;2.4952614984145125E-5;2.441821057744951E-5;10985;43195;
561;429343;2.5230073036015397E-5;2.4769424491746786E-5;11246;44234;
575;439492;2.5416022158704754E-5;2.485195978332054E-5;11525;45333;
589;449597;2.5530211430998978E-5;2.513466792511311E-5;11771;46440;
603;459719;2.5723313862499634E-5;2.5202908621803333E-5;12069;47550;
617;469808;2.588416422363295E-5;2.5250031739243287E-5;12367;48641;
631;479916;2.6204681623600124E-5;2.5540693452528767E-5;12654;49752;
645;489948;2.6380560692436932E-5;2.5865340790304654E-5;12946;50784;
658;499383;2.6490304813341338E-5;2.5788170041003865E-5;13255;51873;
672;509509;2.6695184242153097E-5;2.6200517183981347E-5;13530;52984;
686;519598;2.6739054635375552E-5;2.6285450362543164E-5;13800;54081;
700;529704;2.6860188956057304E-5;2.6252205361322632E-5;14068;55188;
714;539811;2.692771470409406E-5;2.6444875575549035E-5;14351;56305;
728;549914;2.7055471833901015E-5;2.6578430273621923E-5;14639;57419;
742;559949;2.7236957718981026E-5;2.6559587455949403E-5;14913;58459;
755;569388;2.7345894943634604E-5;2.6584094248834314E-5;15177;59559;
769;579497;2.7375045237262224E-5;2.6816450080001963E-5;15446;60685;
783;589586;2.7452059096596636E-5;2.6783976919629218E-5;15720;61787;
797;599674;2.7595996814318113E-5;2.7071905162294932E-5;15976;62889;
811;609756;2.7671641658881715E-5;2.714913031431283E-5;16254;63982;
825;619852;2.773458885968129E-5;2.700042492118837E-5;16523;65090;
839;629893;2.799610070309406E-5;2.72709064111273E-5;16798;66196;
852;639326;2.823137759523995E-5;2.7620769734156412E-5;17031;67221;
866;649426;2.8572538818651247E-5;2.7957077607165567E-5;17286;68323;
880;659508;2.868138480609375E-5;2.797401532687526E-5;17585;69413;
894;669622;2.883398257850773E-5;2.8297937793448725E-5;17888;70516;
908;679724;2.8860095492283966E-5;2.827457486547534E-5;18159;71634;
922;689808;2.9071102684367462E-5;2.8471694151703046E-5;18444;72731;
936;699920;2.9331172994671696E-5;2.8814151079213998E-5;18700;73858;
950;709949;2.9484261301317343E-5;2.88634292812016E-5;18981;74960;
964;719904;2.9599757992378637E-5;2.8966558044749076E-5;19216;76034;
978;729927;2.9635741178032553E-5;2.906457775552324E-5;19496;77107;
991;739325;2.9769028065048887E-5;2.906806293338295E-5;19753;78202;
1005;749373;2.977491356342592E-5;2.9134166635433973E-5;20024;79324;
1019;759412;2.9849766127082376E-5;2.9200295661572463E-5;20294;80440;
1033;769452;2.9849766127082376E-5;2.9167563506394718E-5;20542;81546;
1047;779499;2.989202403079596E-5;2.9280893455433075E-5;20828;82669;
1061;789529;3.0127106261316496E-5;2.9429121715495547E-5;21120;83771;
1075;799560;3.0219788521919935E-5;2.9721475961949584E-5;21416;84875;
1089;809610;3.0377630399016226E-5;2.9419158420509774E-5;21703;85995;
1103;819655;3.0449538719937925E-5;2.9741951493711297E-5;21992;87110;
1117;829699;3.0587381726241664E-5;2.981999485964055E-5;22257;88224;
1131;839774;3.0681660589652396E-5;2.9796315427024493E-5;22510;89324;
1145;849848;3.0868637279312366E-5;3.0246638284112882E-5;22807;90425;
1159;859914;3.093873696937743E-5;3.0311306657166404E-5;23104;91515;
1173;869922;3.1101296924081696E-5;3.0430516002185765E-5;23348;92569;
1186;879382;3.126107814456747E-5;3.057193506160035E-5;23638;93645;
1200;889521;3.135834307532523E-5;3.0702865681497025E-5;23905;94773;
1214;899618;3.146506371046099E-5;3.090741722322458E-5;24210;95860;
1228;909730;3.1496777249751795E-5;3.10087276390498E-5;24465;96976;
1242;919804;3.152473809247592E-5;3.059883608946282E-5;24735;98083;
1256;929874;3.1694696399672634E-5;3.1066889299704606E-5;25029;99180;
1270;939947;3.182645669692299E-5;3.116780628872351E-5;25291;100291;
1283;949350;3.186509592987129E-5;3.116117469680903E-5;25567;101360;
1297;959413;3.18820618767057E-5;3.1310029849018395E-5;25868;102453;
1311;969477;3.207797256948408E-5;3.1381016707624206E-5;26148;103542;
1325;979573;3.210992382883867E-5;3.108165779280555E-5;26460;104630;
1339;989689;3.215481643779938E-5;3.1359364403724375E-5;26747;105733;
1353;999813;3.226572502374757E-5;3.148923115977075E-5;27029;106832;
