iterations;timeInMSec;bestFitness;averageFitness;mutations;crossovers;
1;0;9.668790738845478E-8;9.345144870350399E-8;0;0;
6;9146;9.985735377013935E-8;9.509202456285138E-8;130;466;
12;19899;1.0066013925927626E-7;9.676056947941081E-8;233;955;
17;28646;1.0209041351619904E-7;9.849295307313879E-8;325;1355;
23;38939;1.0303362945541884E-7;9.975863678206465E-8;459;1839;
29;49645;1.0400210500260525E-7;1.0108602841471675E-7;567;2305;
34;58475;1.0487599986156368E-7;1.027173666353043E-7;665;2695;
40;68994;1.0596861887708021E-7;1.0366853698668331E-7;793;3186;
46;79722;1.0788068396353633E-7;1.0524308823373296E-7;910;3664;
51;88558;1.0896175573127939E-7;1.0655597765627728E-7;1000;4062;
57;99080;1.0956042931473348E-7;1.0769246830835713E-7;1128;4539;
63;109806;1.0991761345118993E-7;1.0772746056450202E-7;1243;5024;
68;118739;1.1052873520531432E-7;1.080714218130505E-7;1345;5428;
74;129451;1.125178973780517E-7;1.0983378959839146E-7;1480;5909;
79;138358;1.1311066894893834E-7;1.1066710044058379E-7;1587;6307;
85;149037;1.148154135559344E-7;1.119220405100754E-7;1688;6797;
91;159704;1.153284149608633E-7;1.1262678548205293E-7;1783;7266;
96;168591;1.1576212457764189E-7;1.1312560817562619E-7;1879;7673;
102;179252;1.1607343083811054E-7;1.1405273628455248E-7;2001;8142;
108;189896;1.1668535188101455E-7;1.1472472329465207E-7;2124;8607;
113;198790;1.1719119884721361E-7;1.1511412591910429E-7;2224;8999;
119;209436;1.1808178037095864E-7;1.153542368667072E-7;2348;9462;
124;218344;1.186424972916884E-7;1.1566461193880252E-7;2437;9865;
130;229086;1.1895791911194583E-7;1.1627483700461262E-7;2551;10334;
136;239773;1.202707294119062E-7;1.171200367629387E-7;2663;10813;
141;248625;1.213795808957279E-7;1.1742451604691071E-7;2774;11205;
147;259314;1.213795808957279E-7;1.190908891618111E-7;2907;11686;
153;269852;1.2185210322822776E-7;1.202312154673081E-7;3035;12142;
158;278838;1.2295841386597115E-7;1.2081915150475512E-7;3125;12553;
164;289488;1.2353318243343321E-7;1.214831565970425E-7;3255;13022;
169;298316;1.242568971586548E-7;1.219642612535891E-7;3358;13411;
175;308858;1.2543920971290854E-7;1.2261820109639402E-7;3486;13888;
181;319332;1.2552429930767072E-7;1.2361993156566256E-7;3623;14361;
187;329832;1.2597490403546748E-7;1.2412822170662204E-7;3748;14830;
192;338585;1.270766710741092E-7;1.244220320122163E-7;3846;15226;
198;349084;1.2776742648677524E-7;1.2554302822528768E-7;3968;15708;
204;359537;1.2785367811379003E-7;1.2615030901220758E-7;4079;16175;
210;369906;1.2884270135730633E-7;1.255433128704664E-7;4175;16619;
215;378760;1.2884270135730633E-7;1.2585799656231002E-7;4278;17072;
221;389233;1.2884877740549072E-7;1.2630737946522455E-7;4399;17543;
227;399716;1.2957731878611967E-7;1.2705513413633202E-7;4529;18022;
232;408443;1.3083559460852682E-7;1.2801160371593658E-7;4642;18424;
238;418935;1.315190715805699E-7;1.2896593541176936E-7;4762;18904;
244;429429;1.3189361777335084E-7;1.298650599621453E-7;4877;19377;
250;439911;1.3263274946628582E-7;1.3016266033500347E-7;4991;19850;
255;448639;1.327871708471609E-7;1.3038781805807763E-7;5075;20249;
261;459130;1.3290195131961006E-7;1.3077298178570703E-7;5188;20715;
267;469597;1.3327376884357818E-7;1.3126934892760164E-7;5308;21182;
272;478359;1.3340149260262043E-7;1.3155683402883612E-7;5415;21591;
278;488856;1.3380482585837133E-7;1.3155356277382578E-7;5518;22063;
284;499335;1.3438636698686011E-7;1.3192706689242975E-7;5650;22530;
290;509815;1.3498615784444383E-7;1.316899515403666E-7;5786;23001;
295;518565;1.3498615784444383E-7;1.3113989250833843E-7;5895;23397;
301;529021;1.351934510129234E-7;1.3209931279095322E-7;6021;23865;
307;539525;1.3542026799941877E-7;1.3234344035268913E-7;6138;24331;
313;549891;1.3542026799941877E-7;1.326659888355459E-7;6243;24768;
318;558756;1.354315655496226E-7;1.3233280005022306E-7;6348;25191;
324;569318;1.3554545320232233E-7;1.3234589559971534E-7;6463;25681;
330;579783;1.3669101133578557E-7;1.3330650408376517E-7;6590;26151;
335;588525;1.3669101133578557E-7;1.3373920341106594E-7;6700;26546;
341;599054;1.3777175133521492E-7;1.3499634297012067E-7;6825;27024;
347;609593;1.3796722947178694E-7;1.3530836734291122E-7;6928;27501;
352;618348;1.3803068311661136E-7;1.3565382437859752E-7;7041;27899;
358;628869;1.3803068311661136E-7;1.3589964597549733E-7;7158;28393;
364;639370;1.381289112927844E-7;1.3518377366814697E-7;7277;28869;
370;649870;1.3819854874939986E-7;1.3456633431905448E-7;7374;29340;
375;658553;1.3820106984212187E-7;1.3435474165840872E-7;7468;29724;
