iterations;timeInMSec;bestFitness;averageFitness;mutations;crossovers;
1;0;3.7480680583193475E-7;3.6111260935572024E-7;0;0;
3;8162;3.7480680583193475E-7;3.6455923415816917E-7;53;241;
6;19821;3.754734438521902E-7;3.6837117028692105E-7;123;487;
8;27521;3.767185239806586E-7;3.6833308521377855E-7;167;647;
11;39077;3.784676435522098E-7;3.6932176989257557E-7;225;888;
14;49924;3.851301851713639E-7;3.726318143327402E-7;263;1055;
16;57658;3.851301851713639E-7;3.7490323085729604E-7;317;1282;
19;69224;3.893501823326905E-7;3.7815539147135425E-7;376;1526;
21;76890;3.8982816686267257E-7;3.816459377599298E-7;418;1677;
24;88363;3.91366578515259E-7;3.8446088580037326E-7;476;1919;
27;99872;3.9283278161278533E-7;3.879366870941777E-7;541;2152;
29;107406;3.940083000212455E-7;3.8948604138519185E-7;581;2310;
32;118684;3.9563954578681066E-7;3.9098616364923946E-7;634;2543;
35;129877;3.965163343714397E-7;3.917659672990939E-7;680;2719;
37;137918;3.970740408080927E-7;3.928073743129796E-7;742;2941;
40;149619;3.9899959629220834E-7;3.9356585186747755E-7;802;3183;
42;157234;3.9899959629220834E-7;3.9407365603074455E-7;836;3338;
45;168881;4.0255312070853205E-7;3.956907066105868E-7;887;3582;
47;176645;4.0255312070853205E-7;3.9620399027285603E-7;930;3739;
50;188239;4.031488180321701E-7;3.977661249243741E-7;976;3967;
53;199884;4.0430808049321095E-7;3.9852970480371414E-7;1035;4215;
55;207514;4.043973848106405E-7;3.998978972372057E-7;1065;4365;
58;219068;4.0634238702096957E-7;4.0063080537347595E-7;1123;4608;
60;226700;4.0745250183577745E-7;4.011351359255709E-7;1157;4766;
63;238281;4.0790633426325106E-7;4.0253529915295276E-7;1213;5004;
66;249778;4.08568865794034E-7;4.0348282869686327E-7;1275;5237;
68;257434;4.08568865794034E-7;4.0388613282351174E-7;1324;5392;
71;268919;4.100262236371592E-7;4.053972732418384E-7;1372;5630;
73;276622;4.104792731364378E-7;4.06264473714774E-7;1413;5797;
76;288129;4.132649109905897E-7;4.0559406924300683E-7;1472;6037;
79;299679;4.132649109905897E-7;4.067111499461321E-7;1513;6276;
81;307291;4.1354050720246985E-7;4.0673411395788064E-7;1542;6437;
84;318661;4.1354050720246985E-7;4.07558985009073E-7;1603;6661;
87;329740;4.1622501723795865E-7;4.0912754900513314E-7;1652;6861;
89;337765;4.172550310316736E-7;4.1017981333660247E-7;1693;7053;
92;349226;4.174829153466554E-7;4.1155714166349586E-7;1768;7290;
94;356871;4.180325531981955E-7;4.12418838354689E-7;1796;7459;
97;368357;4.1854814521645037E-7;4.1405780501823463E-7;1841;7702;
100;379768;4.189556658600651E-7;4.143738628316082E-7;1893;7932;
102;387313;4.192032656269759E-7;4.149549579571566E-7;1931;8086;
105;398773;4.20766793623229E-7;4.1568496531516893E-7;1999;8326;
