iterations;timeInMSec;bestFitness;averageFitness;mutations;crossovers;
1;0;1.5448720444280485E-5;1.4104886483177745E-5;0;0;
3;8631;1.5448720444280485E-5;1.4265092537505715E-5;303;1173;
5;16838;1.5702531248037182E-5;1.4450420720647682E-5;494;1958;
8;29178;1.5850377508441125E-5;1.4679206895441998E-5;812;3145;
10;37455;1.588678946731278E-5;1.4830753216815313E-5;1020;3955;
13;49828;1.5933644655505052E-5;1.5051531701763573E-5;1334;5142;
15;58036;1.5933644655505052E-5;1.5142241813120692E-5;1523;5933;
17;66243;1.5959144589849992E-5;1.523644552175827E-5;1728;6731;
20;78563;1.6130301868921295E-5;1.5333606605002147E-5;1996;7935;
23;89787;1.626184960325965E-5;1.5405846431749336E-5;2290;9115;
25;96951;1.643872186964816E-5;1.545751428873814E-5;2472;9938;
28;107649;1.6472950262562365E-5;1.5549281501792664E-5;2769;11109;
31;118364;1.6518965093444488E-5;1.5630135998113627E-5;3057;12308;
34;129086;1.662629248641217E-5;1.56180755456674E-5;3347;13504;
37;139830;1.662629248641217E-5;1.5596688966926107E-5;3643;14707;
39;146975;1.6645183283442176E-5;1.565366035730728E-5;3864;15519;
42;157694;1.6790801058895073E-5;1.5788172826407084E-5;4175;16720;
45;168355;1.6830217106434626E-5;1.5812534298126657E-5;4480;17866;
48;178876;1.6913519483528767E-5;1.5962642697753992E-5;4772;19052;
51;189380;1.7101682155660197E-5;1.6076562287147104E-5;5103;20258;
54;199912;1.7101682155660197E-5;1.614959461593712E-5;5423;21468;
56;206903;1.7135123816691188E-5;1.6237206751587324E-5;5622;22267;
59;217417;1.7187204057830132E-5;1.629096185180591E-5;5906;23462;
62;227925;1.720817346940181E-5;1.6386461480416203E-5;6232;24670;
65;238429;1.7234895423825047E-5;1.6480309783275886E-5;6557;25846;
68;248935;1.7399474535869015E-5;1.6504888511802995E-5;6860;27066;
71;259434;1.7453633549793316E-5;1.6556883121446108E-5;7174;28234;
74;269698;1.7494004804553486E-5;1.6563643170848906E-5;7455;29403;
76;277002;1.7494004804553486E-5;1.6573237009910567E-5;7658;30246;
79;287495;1.7517736708417278E-5;1.6610884770009843E-5;7987;31458;
82;298014;1.7540326965726885E-5;1.6549199832799105E-5;8280;32661;
85;308536;1.7749750527256333E-5;1.6549380896897353E-5;8575;33855;
88;319079;1.7749750527256333E-5;1.6656177847848998E-5;8886;35056;
91;329563;1.7771667483570995E-5;1.6764952567672016E-5;9159;36263;
93;336669;1.7771667483570995E-5;1.6748354440559605E-5;9348;37086;
96;347352;1.7771667483570995E-5;1.6799079444876817E-5;9672;38290;
99;358017;1.7970691957899686E-5;1.6862303211404903E-5;9980;39481;
102;368676;1.7970691957899724E-5;1.6971837320879903E-5;10269;40674;
105;379364;1.7970691957899724E-5;1.7029211465376228E-5;10574;41889;
108;389770;1.812620040762198E-5;1.704119172021292E-5;10826;42987;
110;397152;1.812620040762198E-5;1.7026821163887812E-5;11050;43916;
113;407828;1.819464706205577E-5;1.704081255588067E-5;11342;45121;
116;418479;1.8239607892205387E-5;1.7147914092061552E-5;11641;46304;
119;429121;1.833237699433347E-5;1.7147290934092563E-5;11930;47497;
122;439767;1.833392979718274E-5;1.712422745694789E-5;12223;48685;
124;446894;1.833392979718274E-5;1.7170831378385193E-5;12422;49478;
127;457547;1.8333929797182754E-5;1.7204716656415127E-5;12705;50649;
130;468221;1.834255902910632E-5;1.7262523612737677E-5;13034;51833;
133;478898;1.8560678756597862E-5;1.737911563829037E-5;13354;53020;
136;489566;1.863914832512342E-5;1.7477737289653946E-5;13675;54249;
139;499925;1.863914832512342E-5;1.752549488055517E-5;13889;55095;
141;507186;1.863914832512342E-5;1.753782200953167E-5;14163;56248;
144;517676;1.863914832512342E-5;1.756013517696286E-5;14474;57449;
147;528173;1.8668056565704867E-5;1.7541961333845858E-5;14779;58651;
150;538648;1.8861604111527947E-5;1.7673373418750357E-5;15093;59814;
153;549118;1.8861604111527947E-5;1.7677006510593815E-5;15377;61013;
156;559614;1.8930552510891727E-5;1.7686387855844643E-5;15682;62213;
159;569845;1.8930552510891727E-5;1.7765096285339985E-5;15924;63195;
161;577093;1.8930552510891727E-5;1.788717706225107E-5;16161;64200;
164;587601;1.9213019356732736E-5;1.7923177062985433E-5;16478;65390;
167;598099;1.9213019356732736E-5;1.8016299676519695E-5;16765;66593;
