iterations;timeInMSec;bestFitness;averageFitness;mutations;crossovers;
1;0;1.9284889450658183E-5;1.6864722809120455E-5;0;0;
396;9969;3.824149715740451E-5;3.481806301406599E-5;7892;31452;
799;19944;4.2847778125568325E-5;3.7143343071229784E-5;15871;63332;
1211;29962;4.6557172561069324E-5;4.056179485951714E-5;24111;96016;
1616;39971;5.1305841397473895E-5;4.414973721656723E-5;32173;128054;
2024;49974;5.9128580013025036E-5;5.063848636080526E-5;40096;160466;
2438;59971;6.292617994306154E-5;5.570098343307713E-5;48353;193226;
2857;69957;6.507891030694945E-5;5.6033734666668474E-5;56689;226361;
3270;79967;7.026895061820931E-5;5.690218696994518E-5;64818;258888;
3678;89969;7.156939938827222E-5;5.741078680486397E-5;72910;291170;
4090;99975;7.257367261496347E-5;5.7917867873459114E-5;81131;323802;
4499;109974;7.579862569998982E-5;6.087380072223162E-5;89261;356075;
4916;119974;7.860491623847492E-5;6.340364599919193E-5;97481;389139;
5340;129961;8.250972423912012E-5;6.208276119404797E-5;105808;422845;
5758;139966;8.738940118816742E-5;7.014748755184242E-5;114092;455920;
6181;149955;9.001190706525131E-5;7.22281193288425E-5;122549;489490;
6606;159969;9.470056622454014E-5;7.093003473104661E-5;131146;523231;
7020;169956;9.753804524689656E-5;7.732167045599965E-5;139333;556034;
7428;179964;9.849949879217802E-5;7.937887989024974E-5;147478;588409;
7854;189962;9.913145970858615E-5;7.898348347904609E-5;155953;622108;
8277;199933;9.999890765465638E-5;7.652314502452478E-5;164284;655605;
8695;209971;1.0192384044256696E-4;7.899200169201849E-5;172501;688833;
9100;219970;1.0216555283752232E-4;8.271773098480214E-5;180605;720771;
9505;229969;1.0411536564130494E-4;7.850500467353572E-5;188662;752879;
9909;239963;1.053485211399809E-4;8.337143839648071E-5;196691;784878;
10310;249961;1.059698774067099E-4;7.982070580840375E-5;204525;816683;
10715;259967;1.0613912379775568E-4;8.179482076651848E-5;212415;848808;
11120;269971;1.0630746231573986E-4;8.687090459052068E-5;220544;880902;
11523;279973;1.0732487528859756E-4;8.059730246470583E-5;228637;912781;
11927;289958;1.0890527641028624E-4;8.372866286026655E-5;236726;944725;
12332;299954;1.1026979446525161E-4;8.310737234525805E-5;244785;976634;
12737;309971;1.1026979446525165E-4;8.503854238209871E-5;252771;1008855;
13137;319964;1.1078418073676983E-4;7.888801775460805E-5;260671;1040514;
13540;329968;1.1150180635401144E-4;8.597340119363751E-5;268557;1072530;
13942;339931;1.1150180635401144E-4;8.821405885020213E-5;276587;1104279;
14344;349961;1.12636780418486E-4;8.509370755553655E-5;284455;1136084;
14748;359942;1.1316094865859042E-4;8.836497001784781E-5;292539;1168130;
15152;369973;1.140931389619827E-4;8.649923257823196E-5;300580;1200041;
15554;379955;1.1486457227985136E-4;8.76172848718098E-5;308446;1231914;
15955;389967;1.1614547744963147E-4;8.902759060572532E-5;316374;1263778;
16358;399968;1.1614547744963147E-4;8.635389122868107E-5;324414;1295750;
16761;409960;1.162251117530718E-4;9.349672086910895E-5;332355;1327706;
17160;419930;1.1689709099639482E-4;8.907547060015686E-5;340319;1359253;
17564;429964;1.1689709099639484E-4;8.687827133796386E-5;348324;1391309;
17966;439956;1.1689709099639487E-4;9.141299795094867E-5;356255;1423199;
18371;449959;1.169672313552035E-4;9.228259817751357E-5;364336;1455326;
18774;459964;1.1810163155832381E-4;8.984900728801844E-5;372213;1487336;
19179;469965;1.1826463330460566E-4;9.163985829299498E-5;380242;1519464;
19584;479963;1.1826463330460569E-4;8.391979945500179E-5;388314;1551559;
19987;489975;1.1836157250959229E-4;9.103545443389123E-5;396254;1583532;
20392;499967;1.1836157250959229E-4;8.891621241684147E-5;404336;1615692;
20797;509965;1.1836157250959229E-4;8.602596130618418E-5;412625;1647916;
21202;519960;1.1836157250959229E-4;8.357834611151178E-5;420693;1680055;
21605;529968;1.1836157250959229E-4;8.871105681841789E-5;428772;1712070;
22010;539962;1.1854871870737332E-4;8.696320923284074E-5;436911;1744016;
22415;549963;1.1854871870737332E-4;9.122013956121756E-5;444820;1776069;
22818;559962;1.1854871870737332E-4;8.653361356444378E-5;452699;1808060;
23223;569961;1.1854871870737335E-4;8.654533180685027E-5;460586;1840231;
23628;579956;1.1854871870737335E-4;8.727869646351342E-5;468641;1872375;
24034;589969;1.1854871870737335E-4;9.092441327300752E-5;476608;1904586;
24436;599958;1.1873043115382457E-4;8.658868247163158E-5;484586;1936419;
