iterations;timeInMSec;bestFitness;averageFitness;mutations;crossovers;
1;0;1.4925266207048064E-5;1.4086638320537542E-5;0;0;
3;8966;1.4965476143085495E-5;1.4227939529723836E-5;290;1174;
5;17356;1.5158956821227392E-5;1.4337677823015095E-5;479;1975;
8;29592;1.5473863870229988E-5;1.4514805062284185E-5;816;3152;
10;38487;1.5473863870229988E-5;1.4646555333445971E-5;1029;3958;
12;46974;1.5473863870229988E-5;1.473239794725208E-5;1232;4745;
15;59676;1.5559717261265713E-5;1.4854164765814227E-5;1534;5925;
17;68098;1.578857955202116E-5;1.4947255253535757E-5;1719;6701;
19;76570;1.578857955202116E-5;1.5017736795405332E-5;1905;7514;
22;89108;1.586449940682638E-5;1.5096808622711675E-5;2198;8703;
24;97258;1.615808031664667E-5;1.5174684302394398E-5;2394;9500;
27;109488;1.6185614032020957E-5;1.5297870948540667E-5;2666;10713;
29;117615;1.622425292182571E-5;1.541297479032105E-5;2867;11518;
32;129784;1.630189013895405E-5;1.5603066708350557E-5;3157;12705;
34;137930;1.6646158599272376E-5;1.569640877936651E-5;3348;13511;
37;149724;1.6646158599272376E-5;1.583196884449756E-5;3616;14577;
39;158170;1.668075634552653E-5;1.5917906436659733E-5;3853;15487;
42;169950;1.6690093995271366E-5;1.6027865051723644E-5;4086;16291;
44;178404;1.6777802832630022E-5;1.6115024501719017E-5;4381;17445;
46;186535;1.691231808687858E-5;1.6191298187574765E-5;4606;18270;
49;198665;1.6943265475555103E-5;1.6300330270483582E-5;4924;19445;
51;206777;1.7023403434573786E-5;1.6348675413553987E-5;5150;20248;
54;218943;1.7058977662292318E-5;1.6424280987236422E-5;5451;21437;
56;227069;1.7072543628031624E-5;1.6461014453467883E-5;5648;22256;
59;239232;1.7131835988025535E-5;1.652845436677038E-5;5964;23480;
61;247351;1.7185916210409233E-5;1.657229056964408E-5;6134;24300;
64;259512;1.7254951221978393E-5;1.661824843122078E-5;6445;25509;
66;267651;1.7254951221978393E-5;1.664542468799997E-5;6652;26302;
69;279776;1.743703486709491E-5;1.673002139385057E-5;6924;27480;
71;287865;1.743703486709491E-5;1.677888472050746E-5;7100;28279;
74;299668;1.7518878343302727E-5;1.6825020972343497E-5;7375;29420;
76;308125;1.7518878343302727E-5;1.6836352833039217E-5;7594;30282;
79;319917;1.779187210348323E-5;1.6885014000055572E-5;7793;31142;
81;328374;1.779187210348323E-5;1.6919767865835266E-5;8076;32279;
83;336520;1.779187210348323E-5;1.6989022705843183E-5;8276;33075;
86;348654;1.8051297455055884E-5;1.7057782070725468E-5;8570;34265;
88;356791;1.805176017297919E-5;1.7093732438363416E-5;8763;35061;
91;368930;1.805370906231202E-5;1.714154462660263E-5;9070;36245;
93;377097;1.805370906231202E-5;1.7202293253908074E-5;9261;37038;
96;389357;1.8069876936910115E-5;1.7251447816267946E-5;9554;38234;
98;397526;1.8114137178360874E-5;1.7298952301492572E-5;9771;39023;
101;409740;1.8114137178360874E-5;1.7340997939573124E-5;10056;40224;
103;417767;1.8214504938863022E-5;1.7363895806576046E-5;10250;40989;
106;429921;1.8214504938863022E-5;1.7412948785393227E-5;10526;42217;
108;437980;1.823715301992665E-5;1.7476650628527996E-5;10716;43009;
111;449798;1.828899836276888E-5;1.7525674288082996E-5;10971;44020;
113;458245;1.835007165702983E-5;1.7574074779567312E-5;11237;45038;
115;466341;1.8388701099386887E-5;1.7621111330313044E-5;11422;45844;
118;478439;1.8571654084371046E-5;1.7680482905764608E-5;11720;47049;
120;486536;1.868062482953931E-5;1.7724559804544685E-5;11919;47848;
123;498629;1.868062482953931E-5;1.7823668949704405E-5;12234;48993;
125;506700;1.8700767890931147E-5;1.790645611401218E-5;12411;49792;
128;518826;1.8855785671563918E-5;1.8067182748782024E-5;12705;50981;
130;526957;1.9012845458648766E-5;1.8119530318140314E-5;12915;51783;
133;539039;1.9012845458648766E-5;1.8240793251447854E-5;13201;52973;
135;547133;1.9012845458648766E-5;1.8331974795975633E-5;13416;53795;
138;559269;1.9043563675392587E-5;1.837680721449763E-5;13731;54986;
140;567410;1.906951448253347E-5;1.841224821001593E-5;13934;55800;
143;579594;1.906951448253347E-5;1.847541829082712E-5;14247;56993;
145;587676;1.906951448253347E-5;1.853171046041134E-5;14439;57798;
148;599790;1.910360534702272E-5;1.8575730049736017E-5;14729;59018;
150;607873;1.9209011331395788E-5;1.8606732740073557E-5;14907;59831;
153;619616;1.9209011331395788E-5;1.8609353442498163E-5;15192;61016;
155;628129;1.9280579867295628E-5;1.8646284171760542E-5;15403;61838;
158;639926;1.9301084566543987E-5;1.869491705617144E-5;15584;62691;
160;648409;1.934524845876405E-5;1.8750193151294785E-5;15908;63854;
162;656528;1.9390750379380074E-5;1.8779588105833097E-5;16126;64656;
165;668730;1.944032849489478E-5;1.881992980519169E-5;16412;65856;
167;676897;1.944869938767714E-5;1.884376392963164E-5;16604;66682;
170;689104;1.9524065753929612E-5;1.8870825115939997E-5;16928;67897;
172;697247;1.9595425016930458E-5;1.892379593888822E-5;17125;68676;
175;709412;1.9638679715129177E-5;1.8962104200607275E-5;17432;69858;
177;717601;1.9801227359276648E-5;1.8986162008317546E-5;17644;70649;
180;729777;1.9801227359276648E-5;1.9052046647188926E-5;17938;71865;
182;737908;1.989481214920473E-5;1.9093131617543858E-5;18135;72662;
185;749846;2.0131304419948675E-5;1.9139879167359936E-5;18380;73616;
187;758356;2.015557686671882E-5;1.9153668910345114E-5;18615;74664;
189;766463;2.015557686671882E-5;1.920598157418109E-5;18825;75443;
192;778675;2.016210331061737E-5;1.9276617045853076E-5;19116;76677;
194;786771;2.0191895699974284E-5;1.9344215673599283E-5;19325;77460;
197;798967;2.0233682849970898E-5;1.947254679442868E-5;19627;78656;
199;807095;2.0389222094087283E-5;1.9512724026125745E-5;19816;79455;
202;819276;2.041312907139859E-5;1.9617053036052504E-5;20079;80639;
204;827409;2.047082906857727E-5;1.9687304140404057E-5;20255;81446;
207;839632;2.048537221511608E-5;1.9794462635887167E-5;20560;82688;
209;847744;2.055564371642752E-5;1.983999089690304E-5;20759;83488;
212;859892;2.055564371642752E-5;1.991264498012764E-5;21060;84671;
214;868002;2.0582535142620484E-5;1.9974224445956184E-5;21266;85476;
217;879787;2.069036292551802E-5;2.000078488617529E-5;21507;86452;
219;888245;2.0778642215468688E-5;2.0013634777226137E-5;21759;87471;
221;896367;2.0938084826881808E-5;2.0051604723942953E-5;21956;88274;
224;908582;2.101534372275888E-5;2.013187720583966E-5;22257;89484;
226;916721;2.101534372275888E-5;2.01704022606865E-5;22462;90305;
229;928894;2.101534372275888E-5;2.023112358650681E-5;22784;91534;
231;937019;2.1076201427786203E-5;2.026237049647137E-5;22993;92328;
234;949161;2.1106807198603265E-5;2.0335274876915033E-5;23301;93516;
236;957294;2.114374107205532E-5;2.038770448740971E-5;23498;94327;
239;969424;2.1196347275866624E-5;2.0409516089228225E-5;23805;95515;
241;977554;2.1277365351512708E-5;2.0443090420039112E-5;24008;96322;
244;989689;2.1277365351512708E-5;2.045430580330179E-5;24298;97511;
246;997843;2.1287765027352633E-5;2.045492683836136E-5;24494;98306;
