iterations;timeInMSec;bestFitness;averageFitness;mutations;crossovers;
1;0;2.510544286001205E-5;2.3627636328815943E-5;0;0;
90;9967;3.5132096683530073E-5;3.2824343732147444E-5;1785;7080;
181;19925;3.9588281868566906E-5;3.788180239324664E-5;3616;14306;
273;29956;4.536381781890764E-5;4.246926015267221E-5;5487;21614;
364;39960;4.689551678859501E-5;4.400545097930371E-5;7339;28847;
457;49948;4.875195007800312E-5;4.605151303985475E-5;9199;36179;
551;59895;5.165289256198347E-5;4.866435182219386E-5;11046;43635;
647;69934;5.374032674118659E-5;5.079682523056763E-5;12915;51173;
742;79899;5.652272213429799E-5;5.283983379871185E-5;14862;58634;
839;89923;5.765682656826568E-5;5.2310183002559706E-5;16827;66330;
932;99913;5.816658911121452E-5;5.4401266726435565E-5;18711;73653;
1027;109903;5.925574780753733E-5;5.554843846739571E-5;20601;81173;
1125;119972;5.9794307581918205E-5;5.61875185563587E-5;22518;88885;
1219;129965;6.0226451457480126E-5;5.5564716877219464E-5;24368;96299;
1312;139902;6.153088850603002E-5;5.7748519754050024E-5;26216;103666;
1405;149948;6.287726358148894E-5;5.7849907034766985E-5;28122;111025;
1498;159922;6.39877143588431E-5;5.8274146944661535E-5;29962;118416;
1591;169946;6.448284756254837E-5;5.788167860253381E-5;31799;125825;
1684;179923;6.570302233902759E-5;6.186189598903153E-5;33603;133193;
1778;189974;6.722237160527024E-5;6.193121255532638E-5;35448;140592;
1871;199972;6.862475981334065E-5;6.345221330318954E-5;37300;148082;
1963;209903;7.000840100812098E-5;6.332982887152772E-5;39165;155380;
2056;219895;7.068136839129205E-5;6.514430442215667E-5;41020;162767;
2150;229935;7.163323782234957E-5;6.329048192587465E-5;42827;170162;
2243;239907;7.248477819657872E-5;6.578128259012387E-5;44694;177591;
2336;249892;7.303534910896874E-5;6.59622941336325E-5;46570;184969;
2431;259975;7.518796992481203E-5;6.80111966782501E-5;48482;192511;
2525;269880;7.617306520414382E-5;7.004293401573351E-5;50357;199979;
2619;279969;7.706535141800247E-5;7.097041871063175E-5;52266;207411;
2713;289957;7.747133560582585E-5;6.766201352179142E-5;54136;214909;
2808;299968;7.888923950773115E-5;6.981900948238541E-5;55966;222394;
2902;309974;8.025682182985554E-5;7.076487863821445E-5;57860;229861;
2995;319951;8.072328059412334E-5;7.338626959348544E-5;59736;237198;
3089;329965;8.253549026081215E-5;7.385880271761766E-5;61607;244603;
3183;339974;8.319467554076539E-5;7.72446468747716E-5;63452;252109;
3276;349944;8.319467554076539E-5;7.53067413883901E-5;65321;259506;
3370;359961;8.319467554076539E-5;7.491873492748656E-5;67211;266930;
3464;369887;8.512087163772556E-5;7.591338826025778E-5;69083;274372;
3558;379881;8.523695874531196E-5;7.719236598276291E-5;70919;281811;
3653;389972;8.665511265164645E-5;7.844225135984707E-5;72900;289271;
3747;399916;8.698677800974252E-5;7.617605769730452E-5;74753;296691;
3841;409926;8.812125484666901E-5;8.039516865644377E-5;76576;304122;
3935;419947;8.896797153024912E-5;8.025655705864441E-5;78452;311552;
4029;429877;8.97021887334051E-5;8.013985228172977E-5;80352;318990;
4124;439901;9.048136083966703E-5;8.237599075800367E-5;82254;326491;
4219;449909;9.100837277029486E-5;7.935040541106754E-5;84149;333994;
4313;459922;9.194556822361162E-5;8.138501993262195E-5;86027;341408;
4408;469942;9.380863039399625E-5;8.219833590987354E-5;87896;348901;
4502;479941;9.476876421531463E-5;8.625097431840247E-5;89696;356339;
4596;489945;9.491268033409264E-5;8.3297425615981E-5;91590;363829;
4690;499882;9.659969088098918E-5;8.577478804970329E-5;93442;371211;
4785;509919;9.689922480620155E-5;8.65406276498503E-5;95311;378776;
4879;519915;9.735202492211838E-5;8.562021044084839E-5;97168;386210;
4973;529899;9.811616954474098E-5;8.50588597618841E-5;99025;393630;
5068;539960;9.811616954474098E-5;8.838844366067263E-5;100955;401217;
5161;549883;9.819324430479184E-5;8.782185155581243E-5;102749;408557;
5255;559914;9.889240506329114E-5;8.766115178982007E-5;104606;416019;
5350;569949;9.94431185361973E-5;8.698040920108981E-5;106456;423513;
5444;579963;9.992006394884092E-5;8.855103666827475E-5;108374;430920;
5538;589941;1.0008006405124099E-4;9.060753096864536E-5;110211;438392;
5632;599901;1.0016025641025641E-4;9.054701691688875E-5;112157;445891;
5726;609912;1.0109179134654265E-4;8.916979580034936E-5;114058;453334;
5821;619974;1.0309278350515464E-4;8.81507804787206E-5;115957;460804;
5914;629955;1.0326311441553078E-4;9.350970777307111E-5;117776;468191;
6008;639921;1.0438413361169103E-4;9.306766309092076E-5;119572;475642;
6102;649880;1.0513036164844407E-4;9.011300929376111E-5;121479;483087;
6197;659966;1.0606703436571913E-4;9.309916538020863E-5;123390;490543;
6292;669972;1.0725010725010725E-4;9.655734996329047E-5;125208;497998;
6387;679973;1.0799136069114471E-4;9.382412669397623E-5;127102;505508;
6481;689899;1.0845986984815618E-4;9.636940979117326E-5;128928;512934;
6575;699959;1.0907504363001745E-4;9.362566369196879E-5;130798;520471;
6670;709971;1.1037527593818985E-4;9.565150311626635E-5;132754;527905;
6765;719971;1.1066843736166445E-4;9.511064646503144E-5;134548;535447;
6860;729971;1.1101243339253997E-4;9.89934123600752E-5;136371;542927;
6954;739922;1.1111111111111112E-4;9.443643403847988E-5;138195;550355;
7049;749919;1.1190689346463742E-4;9.985870255708285E-5;140084;557894;
7143;759889;1.1322463768115942E-4;1.0004140923751601E-4;141904;565326;
7237;769949;1.1343012704174228E-4;9.944423515661973E-5;143769;572774;
7332;779956;1.1373976342129209E-4;9.904418104267497E-5;145658;580304;
7427;789971;1.1384335154826958E-4;1.0066312446392562E-4;147509;587818;
7521;799957;1.152604887044721E-4;1.0233676048701545E-4;149329;595281;
7616;809970;1.152604887044721E-4;1.0209199450193779E-4;151269;602730;
7710;819917;1.157943492357573E-4;1.0018141914431749E-4;153096;610214;
7805;829923;1.157943492357573E-4;9.978577854926226E-5;154956;617740;
7899;839938;1.169864295741694E-4;9.934966704462323E-5;156785;625196;
7994;849941;1.1775788977861517E-4;1.0209819788204048E-4;158616;632703;
8089;859965;1.1786892975011787E-4;9.989827849428574E-5;160516;640223;
8183;869956;1.1853959222380275E-4;9.941087913610072E-5;162348;647688;
