iterations;timeInMSec;bestFitness;averageFitness;mutations;crossovers;
1;0;1.890118117929338E-5;1.6871627622226575E-5;0;0;
83;9926;2.4390384359093325E-5;2.098204639159447E-5;8523;33106;
167;19918;2.8349240656274655E-5;2.3418063228911756E-5;16867;66621;
251;29949;2.9667662829795034E-5;2.4768522062923962E-5;25287;100198;
334;39922;3.2880978171859745E-5;2.684252177916063E-5;33570;133181;
418;49864;3.546155164765933E-5;2.7850919846639463E-5;41932;166753;
503;59916;3.702098263850466E-5;2.989551659153346E-5;50354;200648;
587;69896;3.7562775734712974E-5;2.993238722410202E-5;58727;234166;
672;79913;3.8079520484920496E-5;2.9434389677760772E-5;67181;268126;
757;89941;3.835416873141603E-5;3.0586542320080684E-5;75474;301992;
841;99857;3.8668761269741625E-5;2.994155796132997E-5;83910;335830;
926;109866;3.933093878384842E-5;3.103764807927849E-5;92257;369850;
1011;119848;3.93648918941273E-5;3.104274095683229E-5;100804;403928;
1096;129903;4.0879111403309774E-5;3.145101108529304E-5;109317;437776;
1180;139874;4.1235227335894203E-5;3.2983309631785725E-5;117557;471214;
1265;149909;4.217142859037572E-5;3.335240551989289E-5;126156;505110;
1350;159915;4.320891426586277E-5;3.2719482139516614E-5;134693;539101;
1434;169849;4.4094573493303765E-5;3.399301395227015E-5;143035;572576;
1519;179877;4.4336685141566444E-5;3.364885970902459E-5;151561;606475;
1604;189897;4.64302050065951E-5;3.609034994766592E-5;160073;640472;
1689;199912;4.802412722468507E-5;3.7658889628873706E-5;168626;674499;
1773;209895;5.032266936497022E-5;3.835577160947844E-5;176997;708045;
1858;219880;5.155300801006022E-5;3.8248126628469514E-5;185460;741873;
1943;229910;5.281745338125972E-5;3.7937736936840265E-5;194021;775934;
2028;239925;5.3642256763893776E-5;4.03074539981066E-5;202602;809982;
2113;249950;5.4973067691080514E-5;3.9770523835313804E-5;210942;843561;
2197;259881;5.612031818011365E-5;4.015113195947438E-5;219299;877582;
2282;269894;5.8085283893351946E-5;4.223382973198434E-5;227801;911519;
2367;279873;5.8338639808403126E-5;4.167265196937182E-5;236322;945532;
2453;289946;5.9486589668636164E-5;4.388477906981827E-5;245056;979907;
2537;299878;6.034003246901656E-5;4.2737460787523115E-5;253509;1013599;
2622;309875;6.075248530750079E-5;4.5415073335922904E-5;262033;1047624;
2706;319847;6.259413965940717E-5;4.536948772761069E-5;270346;1081256;
2792;329928;6.266892898708213E-5;4.316253473240117E-5;279006;1115447;
2877;339925;6.410955848701833E-5;4.704914406803779E-5;287582;1149469;
2961;349903;6.452850470225733E-5;4.449248013218007E-5;295961;1183091;
3046;359911;6.475894578397293E-5;4.48068345099381E-5;304494;1216987;
3131;369898;6.568781440989862E-5;4.833539488377111E-5;313048;1251004;
3216;379894;6.606123140082716E-5;4.7145973066720967E-5;321689;1284940;
3301;389938;6.613911749739202E-5;4.5666831563437236E-5;330196;1318886;
3385;399896;6.711176273985029E-5;4.632344422690447E-5;338584;1352344;
3470;409945;6.876275214995155E-5;4.763821772585594E-5;346864;1386118;
3554;419860;6.919701966412071E-5;4.967027099762387E-5;355275;1419887;
3640;429950;6.982471089171283E-5;4.860269157863675E-5;363515;1453928;
3725;439938;7.020779088292058E-5;4.953743220293001E-5;372068;1488261;
3810;449948;7.137940604793346E-5;5.044322894212087E-5;380600;1521945;
3895;459929;7.212836809103675E-5;5.10435212934742E-5;389012;1556184;
3980;469908;7.243928067052735E-5;5.213196633398149E-5;397456;1590051;
4065;479865;7.317756214249128E-5;5.259686097165236E-5;405904;1623921;
4150;489896;7.451698484559184E-5;5.232900864007097E-5;414306;1657892;
4235;499896;7.479670558256273E-5;5.3755763176661484E-5;422846;1691780;
4320;509948;7.479670558256273E-5;5.103019876577668E-5;431301;1725527;
4405;519944;7.479670558256275E-5;5.218279403534352E-5;439919;1759817;
