iterations;timeInMSec;bestFitness;averageFitness;mutations;crossovers;
1;0;1.4715785210753582E-5;1.4084339340942064E-5;0;0;
13;9805;1.5437568619992513E-5;1.4846610630825663E-5;232;1022;
25;19397;1.59877316542378E-5;1.5427911969046842E-5;468;1955;
38;29775;1.654423929587717E-5;1.605103067056607E-5;718;2980;
50;39391;1.70994655391051E-5;1.6650564024033985E-5;948;3943;
63;49784;1.7444748990995704E-5;1.7022477765054885E-5;1214;4960;
75;59374;1.7805329348738026E-5;1.7455835308563747E-5;1436;5916;
88;69606;1.8380190565815773E-5;1.790033492022535E-5;1708;6964;
101;79607;1.88913640773911E-5;1.8495772296289374E-5;1981;7988;
114;89842;1.9312386346606336E-5;1.8955098668321388E-5;2221;9025;
126;99319;1.9739595259338794E-5;1.9235595505442112E-5;2465;9957;
140;109873;2.016259926551683E-5;1.9669545866631977E-5;2761;11079;
153;119871;2.027181257168617E-5;1.9840316260302526E-5;3005;12118;
166;129914;2.0552348475755605E-5;1.9980012892961592E-5;3252;13124;
178;139526;2.0817390681636284E-5;2.0218307003249972E-5;3511;14100;
191;149847;2.1095551032669388E-5;2.056783392492641E-5;3774;15102;
203;159406;2.1273707951984394E-5;2.0624520791218325E-5;3994;16056;
216;169762;2.147762632710252E-5;2.0934842113100064E-5;4270;17089;
229;179921;2.1692604513883916E-5;2.1102633055768196E-5;4518;18080;
242;189939;2.2133119202782773E-5;2.162424408114969E-5;4773;19089;
255;199948;2.2330659906729292E-5;2.1721262782407956E-5;5005;20090;
267;209240;2.24349957216463E-5;2.180066450614243E-5;5235;21114;
280;219268;2.261016236357589E-5;2.183949498667584E-5;5479;22161;
293;229295;2.289283998957915E-5;2.214286537953657E-5;5777;23207;
306;239314;2.291156502485448E-5;2.236534681222103E-5;6005;24231;
319;249320;2.345045271098957E-5;2.2767735407083355E-5;6270;25255;
332;259325;2.3636102349995807E-5;2.293074147530666E-5;6526;26275;
345;269360;2.3729251142800718E-5;2.318595034752671E-5;6765;27340;
358;279380;2.389220220639709E-5;2.3339507202593996E-5;7020;28368;
371;289382;2.4032430322774775E-5;2.3329104372547775E-5;7288;29385;
384;299391;2.4387912180103752E-5;2.373779517697067E-5;7552;30406;
397;309376;2.4585198530395197E-5;2.4026474937722146E-5;7828;31433;
410;319373;2.4787115855475253E-5;2.4074338279221773E-5;8077;32445;
423;329387;2.496025080060005E-5;2.410330481832905E-5;8348;33489;
436;339398;2.5080080697667655E-5;2.4292219490081835E-5;8606;34519;
449;349408;2.5182332679767842E-5;2.4345505832729166E-5;8851;35533;
462;359432;2.5218811013760887E-5;2.4402656917832974E-5;9110;36576;
475;369431;2.5417197886102474E-5;2.481337800907615E-5;9357;37603;
488;379440;2.5600681592546725E-5;2.4913066383094537E-5;9617;38638;
501;389457;2.5805772338379735E-5;2.514700022260116E-5;9871;39670;
514;399497;2.5969452652234212E-5;2.5153075938015517E-5;10132;40696;
527;409463;2.6329189645466928E-5;2.5428930844385768E-5;10391;41724;
540;419409;2.6557152053505193E-5;2.5929291370173613E-5;10651;42743;
553;429348;2.682108459101867E-5;2.6057217730412734E-5;10911;43765;
566;439297;2.6956226861448746E-5;2.5907053187578837E-5;11169;44795;
579;449284;2.7128767236262253E-5;2.648182213987058E-5;11446;45819;
593;459940;2.7181033292416807E-5;2.632756616123639E-5;11698;46873;
606;469915;2.7305498835966583E-5;2.6728961524050077E-5;11961;47957;
619;479858;2.73527165623981E-5;2.6565907033834916E-5;12225;48985;
632;489802;2.76502792678206E-5;2.6713929084573456E-5;12470;50025;
645;499750;2.7663114169545006E-5;2.6559455804626574E-5;12726;51057;
658;509684;2.7864110078838724E-5;2.667081315985009E-5;12998;52070;
671;519612;2.7864110078838724E-5;2.7098075010444952E-5;13246;53072;
684;529568;2.7961703650680026E-5;2.6997507099755266E-5;13492;54094;
697;539517;2.7964893990679857E-5;2.693964868590585E-5;13749;55129;
710;549463;2.8024282480283503E-5;2.728445879547301E-5;14013;56170;
723;559392;2.8132449824369082E-5;2.737628320907398E-5;14278;57179;
736;569307;2.816980760021408E-5;2.729944967834592E-5;14524;58221;
750;579926;2.825447791093172E-5;2.7505876864935878E-5;14803;59289;
763;589910;2.8424740666878528E-5;2.7432473596206513E-5;15073;60360;
776;599834;2.8522841947516814E-5;2.7423532245384103E-5;15335;61390;
789;609739;2.8531386807999725E-5;2.7666339311726417E-5;15611;62412;
802;619671;2.8564752580682573E-5;2.759560764002113E-5;15874;63442;
815;629601;2.8906446021837066E-5;2.8078163804569804E-5;16102;64469;
828;639521;2.8956483617290263E-5;2.794597920820106E-5;16366;65482;
841;649439;2.9030795287024564E-5;2.8075564901981453E-5;16645;66507;
854;659364;2.9030795287024564E-5;2.8116191831741776E-5;16894;67536;
867;669297;2.928135931097448E-5;2.8277406061514302E-5;17138;68581;
881;679942;2.928135931097448E-5;2.8403528403146307E-5;17414;69635;
894;689951;2.9352334860828844E-5;2.837776347833283E-5;17685;70749;
907;699876;2.9392849542706035E-5;2.8486968126512888E-5;17945;71777;
920;709787;2.9485478401887078E-5;2.8600725048437695E-5;18206;72779;
933;719744;2.9581300358466197E-5;2.8387822935539792E-5;18476;73821;
946;729748;2.9645053841346784E-5;2.870095339076783E-5;18722;74847;
959;739696;2.9722381071836603E-5;2.8488020058090296E-5;18951;75875;
972;749650;2.9722381071836603E-5;2.868479014891412E-5;19218;76903;
985;759622;2.979421729995269E-5;2.9127436628292388E-5;19504;77942;
998;769559;2.979421729995269E-5;2.878332113136076E-5;19786;78970;
1011;779499;2.9844688242386622E-5;2.889636118485396E-5;20041;79986;
1024;789452;2.9895634340517252E-5;2.888969270584654E-5;20297;81001;
1037;799383;3.010769522582275E-5;2.9236586574717844E-5;20544;82021;
1050;809321;3.0199291162237827E-5;2.961525183956628E-5;20810;83038;
1063;819257;3.030629970990809E-5;2.9262875178350216E-5;21069;84054;
1077;829928;3.059082507737949E-5;2.952237212406695E-5;21346;85123;
1090;839916;3.059082507737949E-5;2.937633647705455E-5;21623;86186;
1103;849876;3.060490596642642E-5;2.9470915108859526E-5;21890;87226;
1116;859839;3.067078227670444E-5;2.9620687233238213E-5;22150;88257;
1129;869728;3.067078227670444E-5;2.9587056307622552E-5;22431;89312;
1142;879537;3.067078227670444E-5;2.965140308363412E-5;22691;90322;
1155;889508;3.0751082899384295E-5;2.978344761648934E-5;22975;91345;
1168;899478;3.091228330489402E-5;3.002861894959738E-5;23242;92362;
1181;909437;3.0980335541818185E-5;2.9927519849151834E-5;23504;93392;
1194;919415;3.102504900406491E-5;2.992141489276596E-5;23741;94430;
1207;929295;3.102504900406491E-5;3.0089496350820104E-5;24014;95450;
1221;939668;3.118466812028801E-5;3.026393570313236E-5;24271;96540;
1234;949648;3.1198794977742776E-5;2.9944051632797664E-5;24528;97562;
1247;959603;3.1198794977742776E-5;3.014914860111694E-5;24819;98598;
1260;969551;3.128584184256089E-5;3.0337515063359992E-5;25081;99619;
1273;979501;3.146070809244916E-5;3.0487652844303395E-5;25318;100640;
1286;989459;3.166851927504426E-5;3.055995546545587E-5;25576;101652;
1299;999431;3.178271808347667E-5;3.0994425800627784E-5;25836;102674;
