iterations;timeInMSec;bestFitness;averageFitness;mutations;cruces;
1;214;2.5659447808683157E-5;2.3779306533236315E-5;17;99;
2;320;2.5744001647616105E-5;2.4032125302069545E-5;41;198;
3;424;2.5877238381119968E-5;2.4248808583606764E-5;58;297;
4;532;2.6136957658128594E-5;2.4360286975075096E-5;75;396;
5;638;2.634074386260668E-5;2.4528873219545276E-5;92;495;
6;743;2.6432649608796785E-5;2.4844984944588808E-5;108;594;
7;848;2.6432649608796785E-5;2.4950357532582398E-5;128;693;
8;952;2.6522384892849564E-5;2.51155566188538E-5;152;792;
9;1056;2.6732249786142E-5;2.5262836948416245E-5;169;891;
10;1161;2.6732249786142E-5;2.530009767207101E-5;191;990;
11;1266;2.7027027027027027E-5;2.5391563518754854E-5;214;1089;
12;1374;2.777777777777778E-5;2.555699989235041E-5;231;1188;
13;1478;2.8011204481792718E-5;2.5692051846187985E-5;253;1287;
14;1582;2.8011204481792718E-5;2.590602842627329E-5;271;1386;
15;1686;2.8011204481792718E-5;2.613321395937791E-5;298;1485;
16;1791;2.8011204481792718E-5;2.6267017564907534E-5;316;1584;
17;1893;2.8011204481792718E-5;2.642797009578147E-5;338;1683;
18;1998;2.8239015023155993E-5;2.6560789311044974E-5;352;1782;
19;2102;2.8392958546280522E-5;2.670533786089973E-5;369;1881;
20;2204;2.8392958546280522E-5;2.6853740186629672E-5;385;1980;
21;2308;2.8392958546280522E-5;2.698395149330708E-5;404;2079;
22;2413;2.8392958546280522E-5;2.7170290421073135E-5;417;2178;
23;2517;2.8496523424142255E-5;2.732668326754898E-5;438;2277;
24;2620;2.8496523424142255E-5;2.7462298876758292E-5;457;2376;
25;2726;2.8574694250771517E-5;2.7556684090964443E-5;472;2475;
26;2829;2.8604118993135013E-5;2.7720087493911685E-5;485;2574;
27;2933;2.864344637946838E-5;2.7741062421816997E-5;500;2673;
28;3036;2.864344637946838E-5;2.7782268054090076E-5;522;2772;
29;3141;2.8775322283609577E-5;2.787356235618607E-5;544;2871;
30;3245;2.897207092362962E-5;2.7943257389952373E-5;560;2970;
31;3348;2.9151119402985074E-5;2.810863491704193E-5;576;3069;
32;3452;2.9394473838918284E-5;2.8109521909483833E-5;598;3168;
33;3556;2.9394473838918284E-5;2.813768300723148E-5;622;3267;
34;3661;2.9394473838918284E-5;2.811952701826771E-5;644;3366;
