iterations;timeInMSec;bestFitness;averageFitness;mutations;cruces;
1;203;2.628811777076761E-5;2.383998299060797E-5;14;99;
2;305;2.672082086361693E-5;2.421706626546282E-5;28;198;
3;406;2.672082086361693E-5;2.4462796024051573E-5;43;297;
4;505;2.672082086361693E-5;2.4620328855569818E-5;66;396;
5;603;2.696871628910464E-5;2.489660098422823E-5;94;495;
6;707;2.7003672499459927E-5;2.5097603322585864E-5;113;594;
7;812;2.7003672499459927E-5;2.5311818290618708E-5;128;693;
8;914;2.7349305327644676E-5;2.543003523586803E-5;145;792;
9;1018;2.7349305327644676E-5;2.5481112432839398E-5;163;891;
10;1121;2.7349305327644676E-5;2.549896043823038E-5;185;990;
11;1227;2.7391256710857896E-5;2.5612640406143844E-5;201;1089;
12;1327;2.7391256710857896E-5;2.5658389581398395E-5;219;1188;
13;1431;2.7391256710857896E-5;2.5851864021831702E-5;233;1287;
14;1534;2.7787040124485938E-5;2.5869888111906193E-5;249;1386;
15;1637;2.808988764044944E-5;2.58261445405322E-5;265;1485;
16;1741;2.808988764044944E-5;2.5957282362791063E-5;285;1584;
17;1845;2.808988764044944E-5;2.6074860884548467E-5;305;1683;
18;1948;2.829654782116582E-5;2.610798325609479E-5;328;1782;
19;2051;2.8418779129248607E-5;2.6298046951683147E-5;351;1881;
20;2152;2.8418779129248607E-5;2.630420208429554E-5;362;1980;
21;2255;2.8742239595309267E-5;2.6365387124293206E-5;389;2079;
22;2356;2.8742239595309267E-5;2.6375142189892846E-5;407;2178;
23;2458;2.9157919290879404E-5;2.640366646453823E-5;420;2277;
24;2555;2.9157919290879404E-5;2.6495458453154274E-5;437;2376;
25;2655;2.9157919290879404E-5;2.6570335689094084E-5;457;2475;
26;2754;2.9157919290879404E-5;2.652370533103518E-5;485;2574;
27;2853;2.9157919290879404E-5;2.6544618116931783E-5;504;2673;
28;2952;2.9157919290879404E-5;2.6575527967140834E-5;525;2772;
29;3053;2.9157919290879404E-5;2.6490990325515477E-5;540;2871;
30;3153;2.9157919290879404E-5;2.6784896148856487E-5;563;2970;
31;3252;2.9157919290879404E-5;2.708118700812203E-5;585;3069;
32;3350;2.9168125072920312E-5;2.7352822422280853E-5;606;3168;
33;3448;2.9168125072920312E-5;2.7588499461572796E-5;629;3267;
34;3548;2.955781508630882E-5;2.750387989516571E-5;653;3366;
35;3645;2.956830277942046E-5;2.7522489511242256E-5;670;3465;
36;3745;2.956830277942046E-5;2.771538570590035E-5;689;3564;
37;3844;2.956830277942046E-5;2.7871026525872622E-5;709;3663;
38;3943;2.956830277942046E-5;2.7961305866193703E-5;719;3762;
39;4039;2.956830277942046E-5;2.7992555037812165E-5;745;3861;
40;4138;2.956830277942046E-5;2.8044560333917603E-5;765;3960;
41;4236;2.9571800331204164E-5;2.80763893627845E-5;785;4059;
42;4336;2.9836496001909535E-5;2.811519187483157E-5;809;4158;
43;4435;2.9836496001909535E-5;2.8273255794930486E-5;832;4257;
44;4534;2.9897153790959102E-5;2.8369425975346582E-5;857;4356;
45;4632;2.9897153790959102E-5;2.8382209427774456E-5;878;4455;
46;4730;2.9897153790959102E-5;2.8269273534140474E-5;896;4554;
47;4830;2.9897153790959102E-5;2.8042553339424516E-5;917;4653;
48;4930;2.9897153790959102E-5;2.791901705607822E-5;935;4752;
49;5030;3.0321406913280777E-5;2.7993449598884826E-5;953;4851;
50;5132;3.0321406913280777E-5;2.8174443856282266E-5;967;4950;
51;5231;3.0321406913280777E-5;2.8255538843249906E-5;984;5049;
52;5330;3.0321406913280777E-5;2.8430961593427982E-5;1000;5148;
53;5430;3.0321406913280777E-5;2.8496870174730425E-5;1021;5247;
54;5529;3.0321406913280777E-5;2.8556861406424336E-5;1035;5346;
55;5629;3.0321406913280777E-5;2.863683709165756E-5;1057;5445;
56;5726;3.0321406913280777E-5;2.8691820921517077E-5;1071;5544;
57;5825;3.0321406913280777E-5;2.8705721708080397E-5;1096;5643;
58;5925;3.0365601846228593E-5;2.8693320188058753E-5;1112;5742;
59;6023;3.0365601846228593E-5;2.865273058761505E-5;1133;5841;
60;6122;3.0402529490453606E-5;2.8698116473227065E-5;1153;5940;
61;6220;3.0402529490453606E-5;2.8721539844166838E-5;1167;6039;
62;6320;3.0402529490453606E-5;2.8769567011655556E-5;1190;6138;
63;6420;3.0543677458766035E-5;2.88372448136248E-5;1207;6237;
64;6519;3.071630421427694E-5;2.8941454779818757E-5;1228;6336;
65;6617;3.1214883256336624E-5;2.902282085558257E-5;1246;6435;
66;6717;3.1214883256336624E-5;2.8883315609850884E-5;1265;6534;
67;6816;3.1474254060178776E-5;2.8917654388149253E-5;1289;6633;
68;6915;3.1474254060178776E-5;2.90733781252615E-5;1306;6732;
69;7012;3.1474254060178776E-5;2.9243146853990026E-5;1324;6831;
70;7110;3.1474254060178776E-5;2.9176612443579493E-5;1351;6930;
71;7209;3.1474254060178776E-5;2.9246939815953414E-5;1360;7029;
72;7307;3.1474254060178776E-5;2.929211237452685E-5;1382;7128;
73;7410;3.192440301366364E-5;2.954218614642388E-5;1395;7227;
74;7511;3.2006145179874536E-5;2.9769381311414412E-5;1409;7326;
75;7614;3.2006145179874536E-5;2.9676813518610205E-5;1425;7425;
76;7713;3.2006145179874536E-5;2.9695843061544816E-5;1438;7524;
77;7812;3.2006145179874536E-5;2.9549336087269757E-5;1462;7623;
78;7912;3.2006145179874536E-5;2.9638052894870236E-5;1479;7722;
79;8011;3.2899065666535074E-5;2.985108319398539E-5;1498;7821;
80;8109;3.2899065666535074E-5;2.9902461183129045E-5;1515;7920;
