iterations;timeInMSec;bestFitness;averageFitness;mutations;cruces;
378;38073;5.2954882440160984E-5;4.958695201225511E-5;7599;37422;
379;38172;5.2954882440160984E-5;4.9722919026485985E-5;7619;37521;
380;38272;5.2954882440160984E-5;4.980356846458297E-5;7642;37620;
381;38370;5.2954882440160984E-5;4.981813603510372E-5;7664;37719;
382;38470;5.2954882440160984E-5;4.98825972684512E-5;7679;37818;
383;38570;5.2954882440160984E-5;4.98865684633221E-5;7703;37917;
384;38669;5.2954882440160984E-5;5.006454885460784E-5;7724;38016;
385;38768;5.2954882440160984E-5;4.981392892489871E-5;7745;38115;
386;38867;5.2954882440160984E-5;4.981323484335816E-5;7762;38214;
387;38967;5.2954882440160984E-5;4.9800144305659264E-5;7787;38313;
388;39067;5.2954882440160984E-5;4.970515909618199E-5;7808;38412;
389;39165;5.2954882440160984E-5;4.976128224310837E-5;7824;38511;
390;39265;5.2954882440160984E-5;4.9692485132385054E-5;7843;38610;
391;39364;5.2954882440160984E-5;4.971434402669955E-5;7868;38709;
392;39464;5.2954882440160984E-5;4.9723717250945396E-5;7888;38808;
393;39563;5.2954882440160984E-5;5.020489856660329E-5;7907;38907;
394;39662;5.2954882440160984E-5;5.007274088808055E-5;7924;39006;
395;39762;5.2954882440160984E-5;5.014084020903353E-5;7947;39105;
396;39860;5.2954882440160984E-5;4.99637143992733E-5;7965;39204;
397;39960;5.2954882440160984E-5;4.9965020064157353E-5;7989;39303;
398;40059;5.320280910832092E-5;4.9861283130845716E-5;8008;39402;
399;40159;5.320280910832092E-5;4.974193704354668E-5;8030;39501;
400;40257;5.320280910832092E-5;4.981193551712575E-5;8045;39600;
401;40357;5.3475935828877E-5;5.002177374941187E-5;8064;39699;
