iterations;timeInMSec;bestFitness;averageFitness;mutations;cruces;
1;204;2.5614754098360656E-5;2.3765359697418068E-5;19;99;
2;310;2.612057256295058E-5;2.4041033764733586E-5;39;198;
3;412;2.6213694033763238E-5;2.4248782454241396E-5;60;297;
4;512;2.6460626587637594E-5;2.4567444714492652E-5;79;396;
5;619;2.6460626587637594E-5;2.4686550501129826E-5;101;495;
6;722;2.6460626587637594E-5;2.4753904123676983E-5;122;594;
7;823;2.659857431641664E-5;2.4732480731180537E-5;150;693;
8;923;2.6766595289079228E-5;2.4934398645846214E-5;171;792;
9;1022;2.6881720430107527E-5;2.512648318478497E-5;188;891;
10;1120;2.720348204570185E-5;2.5295383452425368E-5;208;990;
11;1220;2.754517408550022E-5;2.5353243676219257E-5;226;1089;
12;1322;2.754517408550022E-5;2.5434741731953036E-5;247;1188;
13;1424;2.78955590270029E-5;2.5586292405964634E-5;267;1287;
14;1524;2.792984024131382E-5;2.588914593755691E-5;287;1386;
15;1624;2.8030048211682924E-5;2.602230490992359E-5;303;1485;
16;1723;2.8030048211682924E-5;2.6201338480056712E-5;325;1584;
17;1823;2.8055212658511953E-5;2.6255892161071116E-5;345;1683;
18;1923;2.8127812781278127E-5;2.649135745187848E-5;374;1782;
19;2022;2.830936473785528E-5;2.6534276490316465E-5;393;1881;
20;2121;2.830936473785528E-5;2.6578039030539992E-5;419;1980;
21;2220;2.830936473785528E-5;2.6512383378654272E-5;437;2079;
22;2320;2.8418779129248607E-5;2.6471155998264116E-5;457;2178;
23;2417;2.844464671748777E-5;2.6535512371948416E-5;474;2277;
24;2514;2.8905075731298415E-5;2.663605324603468E-5;498;2376;
25;2611;2.898550724637681E-5;2.680135736943839E-5;518;2475;
26;2709;2.898550724637681E-5;2.6949755830496788E-5;535;2574;
27;2806;2.898550724637681E-5;2.691935340841882E-5;554;2673;
28;2901;2.898550724637681E-5;2.6929630733570183E-5;578;2772;
29;2998;2.898550724637681E-5;2.703843285093071E-5;602;2871;
30;3095;3.0124111338715508E-5;2.714892717497819E-5;626;2970;
31;3192;3.0124111338715508E-5;2.7416316358574384E-5;646;3069;
32;3287;3.0124111338715508E-5;2.751536560858788E-5;669;3168;
33;3384;3.0417325708723688E-5;2.7745412711227257E-5;687;3267;
34;3480;3.0417325708723688E-5;2.786650356418522E-5;708;3366;
35;3577;3.0417325708723688E-5;2.79073900620875E-5;730;3465;
36;3673;3.0417325708723688E-5;2.787116367610183E-5;742;3564;
37;3770;3.093293739173472E-5;2.7871313560950064E-5;759;3663;
38;3868;3.093293739173472E-5;2.8065418919487952E-5;783;3762;
39;3964;3.093293739173472E-5;2.8271383829916226E-5;802;3861;
40;4060;3.093293739173472E-5;2.8336785199770456E-5;814;3960;
41;4157;3.099429704934292E-5;2.8634359512491633E-5;833;4059;
42;4255;3.114876650884625E-5;2.8823596849772816E-5;851;4158;
43;4351;3.12656328164082E-5;2.889585026770289E-5;871;4257;
44;4447;3.12656328164082E-5;2.8996010005732986E-5;889;4356;
45;4544;3.12656328164082E-5;2.9073858287867713E-5;905;4455;
46;4640;3.12656328164082E-5;2.896341006933173E-5;918;4554;
47;4738;3.12656328164082E-5;2.902504131528022E-5;933;4653;
48;4834;3.12656328164082E-5;2.929813141341138E-5;949;4752;
49;4931;3.177427554651754E-5;2.9396502968084053E-5;966;4851;
50;5028;3.177427554651754E-5;2.9517168997586415E-5;987;4950;
51;5126;3.177427554651754E-5;2.939034682660405E-5;1009;5049;
52;5222;3.177427554651754E-5;2.9382681580931693E-5;1029;5148;
53;5319;3.177427554651754E-5;2.950066112897191E-5;1041;5247;
54;5421;3.177427554651754E-5;2.9729197208394637E-5;1058;5346;
55;5522;3.177831447820008E-5;2.9788209392952E-5;1083;5445;
56;5619;3.177831447820008E-5;2.9812772407185137E-5;1095;5544;
57;5717;3.177831447820008E-5;2.9839241482744835E-5;1110;5643;
58;5815;3.177831447820008E-5;2.989635212852753E-5;1132;5742;
59;5912;3.223726627981947E-5;2.9889156119439162E-5;1157;5841;
60;6009;3.2354083085285365E-5;2.9669511588086E-5;1178;5940;
61;6106;3.2354083085285365E-5;2.9796057596545393E-5;1196;6039;
62;6203;3.2354083085285365E-5;2.9688107796811202E-5;1214;6138;
63;6303;3.2354083085285365E-5;2.9645845131367126E-5;1233;6237;
64;6398;3.2354083085285365E-5;2.9437730463202295E-5;1250;6336;
65;6496;3.295978905735003E-5;2.926728391134559E-5;1268;6435;
66;6594;3.295978905735003E-5;2.956935939234708E-5;1290;6534;
67;6691;3.295978905735003E-5;2.981465492499475E-5;1306;6633;
68;6787;3.295978905735003E-5;2.9851720793863773E-5;1324;6732;
69;6883;3.324026060364313E-5;3.003450233777473E-5;1336;6831;
70;6981;3.3346672002134185E-5;3.023305836468522E-5;1361;6930;
71;7077;3.3346672002134185E-5;3.0245372930780816E-5;1384;7029;
72;7172;3.3346672002134185E-5;3.065189885861194E-5;1398;7128;
73;7269;3.3346672002134185E-5;3.097551220138087E-5;1417;7227;
74;7366;3.3346672002134185E-5;3.1281419656446E-5;1433;7326;
75;7463;3.359312012899758E-5;3.1291201961459217E-5;1455;7425;
76;7560;3.360215053763441E-5;3.1342691616712853E-5;1476;7524;
77;7656;3.360215053763441E-5;3.1281439534060773E-5;1495;7623;
78;7753;3.396277679663089E-5;3.1308959942291515E-5;1520;7722;
