Cabecera;Train;Test;Size;Depth;Generaciones;Distintos;Regla;Monticulo;
C:/Users/luisb/Desktop/Experimento_Presentacion/gp_60_60_4_4_0_1_0_0.0_0_0_0_GMT_14.35.23_06.04.2021.csv;1823.46;1827.105;15;4;4087;26172;(((intervalo.inicio/intervalo.inicio)*(Math.min(instancia.d[tarea],intervalo.inicio)))/((instancia.p[tarea]+instancia.d[tarea])*(instancia.d[tarea]+intervalo.inicio)));/ * * / Math.min + + intervalo.inicio intervalo.inicio instancia.d[tarea] intervalo.inicio instancia.p[tarea] instancia.d[tarea] instancia.d[tarea] intervalo.inicio ;
C:/Users/luisb/Desktop/Experimento_Presentacion/gp_60_60_4_4_0_1_0_0.0_0_0_0_GMT_14.36.38_06.04.2021.csv;1710.02;1737.894;13;4;2373;42324;(Math.min(((intervalo.inicio+intervalo.inicio)/(0.3*instancia.p[tarea])),(intervalo.inicio-(instancia.d[tarea]*0.8))));Math.min / - + * intervalo.inicio * intervalo.inicio intervalo.inicio 0.3 instancia.p[tarea] null null instancia.d[tarea] 0.8 ;
C:/Users/luisb/Desktop/Experimento_Presentacion/gp_60_60_4_4_0_1_0_0.0_0_0_0_GMT_14.37.38_06.04.2021.csv;1681.3;1712.322;9;4;3526;37555;(Math.min((intervalo.inicio-instancia.d[tarea]),(instancia.p[tarea]-(instancia.p[tarea]/0.6))));Math.min - - intervalo.inicio instancia.d[tarea] instancia.p[tarea] / null null null null null null instancia.p[tarea] 0.6 ;
C:/Users/luisb/Desktop/Experimento_Presentacion/gp_60_60_4_4_0_1_0_0.0_0_0_0_GMT_14.38.53_06.04.2021.csv;1740.18;1756.369;13;4;5479;25727;(((promedioDuraciones()+intervalo.inicio)-instancia.d[tarea])/((instancia.p[tarea]/instancia.d[tarea])/(instancia.d[tarea]/instancia.p[tarea])));/ - / + instancia.d[tarea] / / promedioDuraciones() intervalo.inicio null null instancia.p[tarea] instancia.d[tarea] instancia.d[tarea] instancia.p[tarea] ;
C:/Users/luisb/Desktop/Experimento_Presentacion/gp_60_60_4_4_0_1_0_0.0_0_0_0_GMT_14.40.08_06.04.2021.csv;1662.5;1681.531;9;4;2711;39666;((instancia.p[tarea]*0.7)-(Math.max((intervalo.inicio+instancia.p[tarea]),instancia.d[tarea])));- * Math.max instancia.p[tarea] 0.7 + instancia.d[tarea] null null null null intervalo.inicio instancia.p[tarea] null null ;
C:/Users/luisb/Desktop/Experimento_Presentacion/gp_60_60_4_4_0_1_0_0.0_0_0_0_GMT_14.41.23_06.04.2021.csv;1659.48;1680.244;15;4;2284;42411;((Math.max((instancia.p[tarea]*0.7),(intervalo.inicio/intervalo.inicio)))-(Math.max((Math.max(instancia.d[tarea],instancia.p[tarea])),(intervalo.inicio+instancia.p[tarea]))));- Math.max Math.max * / Math.max + instancia.p[tarea] 0.7 intervalo.inicio intervalo.inicio instancia.d[tarea] instancia.p[tarea] intervalo.inicio instancia.p[tarea] ;
C:/Users/luisb/Desktop/Experimento_Presentacion/gp_60_60_4_4_0_1_0_0.0_0_0_0_GMT_14.42.38_06.04.2021.csv;1627.4;1641.526;15;4;3117;31172;(((instancia.p[tarea]+instancia.p[tarea])/(promedioDuraciones()+instancia.p[tarea]))/(Math.max((instancia.d[tarea]-intervalo.inicio),(Math.max(instancia.p[tarea],instancia.p[tarea])))));/ / Math.max + + - Math.max instancia.p[tarea] instancia.p[tarea] promedioDuraciones() instancia.p[tarea] instancia.d[tarea] intervalo.inicio instancia.p[tarea] instancia.p[tarea] ;
C:/Users/luisb/Desktop/Experimento_Presentacion/gp_60_60_4_4_0_1_0_0.0_0_0_0_GMT_14.43.38_06.04.2021.csv;1724.26;1735.037;11;4;7289;23652;((promedioDuraciones()/(Math.max(intervalo.inicio,instancia.d[tarea])))/(Math.max((intervalo.inicio+instancia.p[tarea]),instancia.d[tarea])));/ / Math.max promedioDuraciones() Math.max + instancia.d[tarea] null null intervalo.inicio instancia.d[tarea] intervalo.inicio instancia.p[tarea] null null ;
C:/Users/luisb/Desktop/Experimento_Presentacion/gp_60_60_4_4_0_1_0_0.0_0_0_0_GMT_14.44.38_06.04.2021.csv;1782.54;1821.524;13;4;5078;23805;(((instancia.d[tarea]+promedioDuraciones())/(Math.max(intervalo.inicio,instancia.d[tarea])))/(instancia.d[tarea]+(instancia.p[tarea]+instancia.d[tarea])));/ / + + Math.max instancia.d[tarea] + instancia.d[tarea] promedioDuraciones() intervalo.inicio instancia.d[tarea] null null instancia.p[tarea] instancia.d[tarea] ;
C:/Users/luisb/Desktop/Experimento_Presentacion/gp_60_60_4_4_0_1_0_0.0_0_0_0_GMT_14.45.53_06.04.2021.csv;1648.08;1659.036;11;4;8644;16960;((promedioDuraciones()+(instancia.p[tarea]+intervalo.inicio))/(Math.max((instancia.p[tarea]+intervalo.inicio),instancia.d[tarea])));/ + Math.max promedioDuraciones() + + instancia.d[tarea] null null instancia.p[tarea] intervalo.inicio instancia.p[tarea] intervalo.inicio null null ;
C:/Users/luisb/Desktop/Experimento_Presentacion/gp_60_60_4_4_0_1_0_0.0_0_0_0_GMT_14.46.53_06.04.2021.csv;1874.6;1887.803;9;4;15161;11307;(promedioDuraciones()/((instancia.d[tarea]+instancia.d[tarea])+(Math.min(instancia.p[tarea],intervalo.inicio))));/ promedioDuraciones() + null null + Math.min null null null null instancia.d[tarea] instancia.d[tarea] instancia.p[tarea] intervalo.inicio ;
C:/Users/luisb/Desktop/Experimento_Presentacion/gp_60_60_4_4_0_1_0_0.0_0_0_0_GMT_14.48.08_06.04.2021.csv;1692.12;1731.027;15;4;2077;38326;(((intervalo.inicio-instancia.p[tarea])+(Math.min(instancia.d[tarea],intervalo.inicio)))+((intervalo.inicio-instancia.d[tarea])*(promedioDuraciones()/instancia.p[tarea])));+ + * - Math.min - / intervalo.inicio instancia.p[tarea] instancia.d[tarea] intervalo.inicio intervalo.inicio instancia.d[tarea] promedioDuraciones() instancia.p[tarea] ;
C:/Users/luisb/Desktop/Experimento_Presentacion/gp_60_60_4_4_0_1_0_0.0_0_0_0_GMT_14.49.23_06.04.2021.csv;1741.36;1732.842;15;4;894;42036;((Math.min((instancia.p[tarea]+intervalo.inicio),(Math.max(instancia.d[tarea],promedioDuraciones()))))-((instancia.d[tarea]+intervalo.inicio)+(Math.max(instancia.p[tarea],promedioDuraciones()))));- Math.min + + Math.max + Math.max instancia.p[tarea] intervalo.inicio instancia.d[tarea] promedioDuraciones() instancia.d[tarea] intervalo.inicio instancia.p[tarea] promedioDuraciones() ;
