Train;Test;Size;Depth;Generaciones;Distintos;Regla;Monticulo;
1922.44;1938.551;3;2;1;1044;(0.6/instancia.d[tarea]);/ 0.6 instancia.d[tarea] null null null null null null null null null null null null ;
1698.76;1724.066;9;4;1;2113;(promedioDuraciones()/(Math.max((instancia.d[tarea]/0.9),(intervalo.inicio+instancia.p[tarea]))));/ promedioDuraciones() Math.max null null / + null null null null instancia.d[tarea] 0.9 intervalo.inicio instancia.p[tarea] ;
1698.76;1724.066;9;4;1;3153;(promedioDuraciones()/(Math.max((instancia.d[tarea]/0.9),(intervalo.inicio+instancia.p[tarea]))));/ promedioDuraciones() Math.max null null / + null null null null instancia.d[tarea] 0.9 intervalo.inicio instancia.p[tarea] ;
1698.76;1724.066;9;4;1;4127;(promedioDuraciones()/(Math.max((instancia.d[tarea]/0.9),(intervalo.inicio+instancia.p[tarea]))));/ promedioDuraciones() Math.max null null / + null null null null instancia.d[tarea] 0.9 intervalo.inicio instancia.p[tarea] ;
1698.76;1724.066;9;4;1;5077;(promedioDuraciones()/(Math.max((instancia.d[tarea]/0.9),(intervalo.inicio+instancia.p[tarea]))));/ promedioDuraciones() Math.max null null / + null null null null instancia.d[tarea] 0.9 intervalo.inicio instancia.p[tarea] ;
1698.76;1724.066;9;4;1;6101;(promedioDuraciones()/(Math.max((instancia.d[tarea]/0.9),(intervalo.inicio+instancia.p[tarea]))));/ promedioDuraciones() Math.max null null / + null null null null instancia.d[tarea] 0.9 intervalo.inicio instancia.p[tarea] ;
1698.76;1724.066;9;4;1;7161;(promedioDuraciones()/(Math.max((instancia.d[tarea]/0.9),(intervalo.inicio+instancia.p[tarea]))));/ promedioDuraciones() Math.max null null / + null null null null instancia.d[tarea] 0.9 intervalo.inicio instancia.p[tarea] ;
1698.76;1724.066;9;4;1;8170;(promedioDuraciones()/(Math.max((instancia.d[tarea]/0.9),(intervalo.inicio+instancia.p[tarea]))));/ promedioDuraciones() Math.max null null / + null null null null instancia.d[tarea] 0.9 intervalo.inicio instancia.p[tarea] ;
1698.76;1724.066;9;4;1;9107;(promedioDuraciones()/(Math.max((instancia.d[tarea]/0.9),(intervalo.inicio+instancia.p[tarea]))));/ promedioDuraciones() Math.max null null / + null null null null instancia.d[tarea] 0.9 intervalo.inicio instancia.p[tarea] ;
1682.6;1715.193;15;4;1;10003;(Math.min((Math.min((intervalo.inicio-instancia.d[tarea]),(promedioDuraciones()-instancia.d[tarea]))),((promedioDuraciones()/0.7)-(intervalo.inicio+instancia.p[tarea]))));Math.min Math.min - - - / + intervalo.inicio instancia.d[tarea] promedioDuraciones() instancia.d[tarea] promedioDuraciones() 0.7 intervalo.inicio instancia.p[tarea] ;
1682.6;1715.193;15;4;1;10956;(Math.min((Math.min((intervalo.inicio-instancia.d[tarea]),(promedioDuraciones()-instancia.d[tarea]))),((promedioDuraciones()/0.7)-(intervalo.inicio+instancia.p[tarea]))));Math.min Math.min - - - / + intervalo.inicio instancia.d[tarea] promedioDuraciones() instancia.d[tarea] promedioDuraciones() 0.7 intervalo.inicio instancia.p[tarea] ;
1682.6;1715.193;15;4;1;12038;(Math.min((Math.min((intervalo.inicio-instancia.d[tarea]),(promedioDuraciones()-instancia.d[tarea]))),((promedioDuraciones()/0.7)-(intervalo.inicio+instancia.p[tarea]))));Math.min Math.min - - - / + intervalo.inicio instancia.d[tarea] promedioDuraciones() instancia.d[tarea] promedioDuraciones() 0.7 intervalo.inicio instancia.p[tarea] ;
1682.6;1715.193;15;4;2;13043;(Math.min((Math.min((intervalo.inicio-instancia.d[tarea]),(promedioDuraciones()-instancia.d[tarea]))),((promedioDuraciones()/0.7)-(intervalo.inicio+instancia.p[tarea]))));Math.min Math.min - - - / + intervalo.inicio instancia.d[tarea] promedioDuraciones() instancia.d[tarea] promedioDuraciones() 0.7 intervalo.inicio instancia.p[tarea] ;
1682.6;1715.193;15;4;2;14031;(Math.min((Math.min((intervalo.inicio-instancia.d[tarea]),(promedioDuraciones()-instancia.d[tarea]))),((promedioDuraciones()/0.7)-(intervalo.inicio+instancia.p[tarea]))));Math.min Math.min - - - / + intervalo.inicio instancia.d[tarea] promedioDuraciones() instancia.d[tarea] promedioDuraciones() 0.7 intervalo.inicio instancia.p[tarea] ;
1650.66;1678.14;13;4;2;14914;(Math.min(((intervalo.inicio/0.5)-(Math.max(instancia.d[tarea],promedioDuraciones()))),(intervalo.inicio-(instancia.p[tarea]*0.7))));Math.min - - / Math.max intervalo.inicio * intervalo.inicio 0.5 instancia.d[tarea] promedioDuraciones() null null instancia.p[tarea] 0.7 ;
1650.66;1678.14;13;4;2;15723;(Math.min(((intervalo.inicio/0.5)-(Math.max(instancia.d[tarea],promedioDuraciones()))),(intervalo.inicio-(instancia.p[tarea]*0.7))));Math.min - - / Math.max intervalo.inicio * intervalo.inicio 0.5 instancia.d[tarea] promedioDuraciones() null null instancia.p[tarea] 0.7 ;
1650.66;1678.14;13;4;2;16510;(Math.min(((intervalo.inicio/0.5)-(Math.max(instancia.d[tarea],promedioDuraciones()))),(intervalo.inicio-(instancia.p[tarea]*0.7))));Math.min - - / Math.max intervalo.inicio * intervalo.inicio 0.5 instancia.d[tarea] promedioDuraciones() null null instancia.p[tarea] 0.7 ;
1650.66;1678.14;13;4;2;17298;(Math.min(((intervalo.inicio/0.5)-(Math.max(instancia.d[tarea],promedioDuraciones()))),(intervalo.inicio-(instancia.p[tarea]*0.7))));Math.min - - / Math.max intervalo.inicio * intervalo.inicio 0.5 instancia.d[tarea] promedioDuraciones() null null instancia.p[tarea] 0.7 ;
1650.66;1678.14;13;4;2;18041;(Math.min(((intervalo.inicio/0.5)-(Math.max(instancia.d[tarea],promedioDuraciones()))),(intervalo.inicio-(instancia.p[tarea]*0.7))));Math.min - - / Math.max intervalo.inicio * intervalo.inicio 0.5 instancia.d[tarea] promedioDuraciones() null null instancia.p[tarea] 0.7 ;
1650.66;1678.14;13;4;2;18777;(Math.min(((intervalo.inicio/0.5)-(Math.max(instancia.d[tarea],promedioDuraciones()))),(intervalo.inicio-(instancia.p[tarea]*0.7))));Math.min - - / Math.max intervalo.inicio * intervalo.inicio 0.5 instancia.d[tarea] promedioDuraciones() null null instancia.p[tarea] 0.7 ;
1650.66;1678.14;13;4;2;19526;(Math.min(((intervalo.inicio/0.5)-(Math.max(instancia.d[tarea],promedioDuraciones()))),(intervalo.inicio-(instancia.p[tarea]*0.7))));Math.min - - / Math.max intervalo.inicio * intervalo.inicio 0.5 instancia.d[tarea] promedioDuraciones() null null instancia.p[tarea] 0.7 ;
1650.66;1678.14;13;4;2;20268;(Math.min(((intervalo.inicio/0.5)-(Math.max(instancia.d[tarea],promedioDuraciones()))),(intervalo.inicio-(instancia.p[tarea]*0.7))));Math.min - - / Math.max intervalo.inicio * intervalo.inicio 0.5 instancia.d[tarea] promedioDuraciones() null null instancia.p[tarea] 0.7 ;
1650.66;1678.14;13;4;2;21073;(Math.min(((intervalo.inicio/0.5)-(Math.max(instancia.d[tarea],promedioDuraciones()))),(intervalo.inicio-(instancia.p[tarea]*0.7))));Math.min - - / Math.max intervalo.inicio * intervalo.inicio 0.5 instancia.d[tarea] promedioDuraciones() null null instancia.p[tarea] 0.7 ;
1650.66;1678.14;13;4;2;21875;(Math.min(((intervalo.inicio/0.5)-(Math.max(instancia.d[tarea],promedioDuraciones()))),(intervalo.inicio-(instancia.p[tarea]*0.7))));Math.min - - / Math.max intervalo.inicio * intervalo.inicio 0.5 instancia.d[tarea] promedioDuraciones() null null instancia.p[tarea] 0.7 ;
1650.66;1678.14;13;4;2;22677;(Math.min(((intervalo.inicio/0.5)-(Math.max(instancia.d[tarea],promedioDuraciones()))),(intervalo.inicio-(instancia.p[tarea]*0.7))));Math.min - - / Math.max intervalo.inicio * intervalo.inicio 0.5 instancia.d[tarea] promedioDuraciones() null null instancia.p[tarea] 0.7 ;
1650.66;1678.14;13;4;2;23427;(Math.min(((intervalo.inicio/0.5)-(Math.max(instancia.d[tarea],promedioDuraciones()))),(intervalo.inicio-(instancia.p[tarea]*0.7))));Math.min - - / Math.max intervalo.inicio * intervalo.inicio 0.5 instancia.d[tarea] promedioDuraciones() null null instancia.p[tarea] 0.7 ;
