Train;Test;Size;Depth;Generaciones;Distintos;Regla;Monticulo;
1887.62;1896.049;9;4;5;860;(((intervalo.inicio-instancia.d[tarea])/0.6)+(intervalo.inicio-instancia.p[tarea]));+ / - - 0.6 intervalo.inicio instancia.p[tarea] intervalo.inicio instancia.d[tarea] null null null null null null ;
1887.62;1896.049;9;4;14;1747;(((intervalo.inicio-instancia.d[tarea])/0.6)+(intervalo.inicio-instancia.p[tarea]));+ / - - 0.6 intervalo.inicio instancia.p[tarea] intervalo.inicio instancia.d[tarea] null null null null null null ;
1879.86;1894.017;7;4;24;2642;(promedioDuraciones()/(instancia.d[tarea]+(instancia.p[tarea]+instancia.d[tarea])));/ promedioDuraciones() + null null instancia.d[tarea] + null null null null null null instancia.p[tarea] instancia.d[tarea] ;
1879.84;1893.371;13;4;34;3482;(((0.6/instancia.d[tarea])*(instancia.d[tarea]*0.4))/((instancia.d[tarea]+instancia.p[tarea])+instancia.d[tarea]));/ * + / * + instancia.d[tarea] 0.6 instancia.d[tarea] instancia.d[tarea] 0.4 instancia.d[tarea] instancia.p[tarea] null null ;
1819.42;1850.215;9;4;49;4331;(((Math.min(instancia.d[tarea],intervalo.inicio))-instancia.d[tarea])-(Math.max(promedioDuraciones(),instancia.p[tarea])));- - Math.max Math.min instancia.d[tarea] promedioDuraciones() instancia.p[tarea] instancia.d[tarea] intervalo.inicio null null null null null null ;
1819.42;1850.215;9;4;59;5165;(((Math.min(instancia.d[tarea],intervalo.inicio))-instancia.d[tarea])-(Math.max(promedioDuraciones(),instancia.p[tarea])));- - Math.max Math.min instancia.d[tarea] promedioDuraciones() instancia.p[tarea] instancia.d[tarea] intervalo.inicio null null null null null null ;
1819.42;1850.215;9;4;71;6018;(((Math.min(instancia.d[tarea],intervalo.inicio))-instancia.d[tarea])-(Math.max(promedioDuraciones(),instancia.p[tarea])));- - Math.max Math.min instancia.d[tarea] promedioDuraciones() instancia.p[tarea] instancia.d[tarea] intervalo.inicio null null null null null null ;
1751.5;1775.018;15;4;83;6872;(((instancia.d[tarea]*0.2)+(intervalo.inicio-promedioDuraciones()))+(Math.min((intervalo.inicio-instancia.d[tarea]),(promedioDuraciones()-instancia.p[tarea]))));+ + Math.min * - - - instancia.d[tarea] 0.2 intervalo.inicio promedioDuraciones() intervalo.inicio instancia.d[tarea] promedioDuraciones() instancia.p[tarea] ;
1751.5;1775.018;15;4;94;7685;(((instancia.d[tarea]*0.2)+(intervalo.inicio-promedioDuraciones()))+(Math.min((intervalo.inicio-instancia.d[tarea]),(promedioDuraciones()-instancia.p[tarea]))));+ + Math.min * - - - instancia.d[tarea] 0.2 intervalo.inicio promedioDuraciones() intervalo.inicio instancia.d[tarea] promedioDuraciones() instancia.p[tarea] ;
1751.5;1775.018;15;4;105;8511;(((instancia.d[tarea]*0.2)+(intervalo.inicio-promedioDuraciones()))+(Math.min((intervalo.inicio-instancia.d[tarea]),(promedioDuraciones()-instancia.p[tarea]))));+ + Math.min * - - - instancia.d[tarea] 0.2 intervalo.inicio promedioDuraciones() intervalo.inicio instancia.d[tarea] promedioDuraciones() instancia.p[tarea] ;
1751.5;1775.018;15;4;114;9323;(((instancia.d[tarea]*0.2)+(intervalo.inicio-promedioDuraciones()))+(Math.min((intervalo.inicio-instancia.d[tarea]),(promedioDuraciones()-instancia.p[tarea]))));+ + Math.min * - - - instancia.d[tarea] 0.2 intervalo.inicio promedioDuraciones() intervalo.inicio instancia.d[tarea] promedioDuraciones() instancia.p[tarea] ;
1751.5;1774.222;13;4;123;10146;((intervalo.inicio+(instancia.d[tarea]*0.2))+(Math.min((intervalo.inicio-instancia.d[tarea]),(promedioDuraciones()-instancia.p[tarea]))));+ + Math.min intervalo.inicio * - - null null instancia.d[tarea] 0.2 intervalo.inicio instancia.d[tarea] promedioDuraciones() instancia.p[tarea] ;
1751.5;1774.222;13;4;132;10914;((intervalo.inicio+(instancia.d[tarea]*0.2))+(Math.min((intervalo.inicio-instancia.d[tarea]),(promedioDuraciones()-instancia.p[tarea]))));+ + Math.min intervalo.inicio * - - null null instancia.d[tarea] 0.2 intervalo.inicio instancia.d[tarea] promedioDuraciones() instancia.p[tarea] ;
