Train;Test;Size;Depth;Generaciones;Distintos;Regla;Monticulo;
1922.44;1938.551;3;2;1;864;(promedioDuraciones()/instancia.d[tarea]);/ promedioDuraciones() instancia.d[tarea] null null null null null null null null null null null null ;
1753.02;1790.838;9;4;1;1731;((Math.min((promedioDuraciones()-instancia.p[tarea]),(intervalo.inicio-instancia.d[tarea])))+intervalo.inicio);+ Math.min intervalo.inicio - - null null promedioDuraciones() instancia.p[tarea] intervalo.inicio instancia.d[tarea] null null null null ;
1753.02;1790.838;9;4;1;2797;((Math.min((promedioDuraciones()-instancia.p[tarea]),(intervalo.inicio-instancia.d[tarea])))+intervalo.inicio);+ Math.min intervalo.inicio - - null null promedioDuraciones() instancia.p[tarea] intervalo.inicio instancia.d[tarea] null null null null ;
1698.76;1724.066;9;4;1;3900;(0.7/(Math.max((instancia.d[tarea]/0.9),(intervalo.inicio+instancia.p[tarea]))));/ 0.7 Math.max null null / + null null null null instancia.d[tarea] 0.9 intervalo.inicio instancia.p[tarea] ;
1698.76;1724.066;9;4;1;4919;(0.7/(Math.max((instancia.d[tarea]/0.9),(intervalo.inicio+instancia.p[tarea]))));/ 0.7 Math.max null null / + null null null null instancia.d[tarea] 0.9 intervalo.inicio instancia.p[tarea] ;
1698.76;1724.066;9;4;1;5798;(0.7/(Math.max((instancia.d[tarea]/0.9),(intervalo.inicio+instancia.p[tarea]))));/ 0.7 Math.max null null / + null null null null instancia.d[tarea] 0.9 intervalo.inicio instancia.p[tarea] ;
1698.76;1724.066;9;4;1;6620;(0.7/(Math.max((instancia.d[tarea]/0.9),(intervalo.inicio+instancia.p[tarea]))));/ 0.7 Math.max null null / + null null null null instancia.d[tarea] 0.9 intervalo.inicio instancia.p[tarea] ;
1698.76;1724.066;9;4;1;7525;(0.7/(Math.max((instancia.d[tarea]/0.9),(intervalo.inicio+instancia.p[tarea]))));/ 0.7 Math.max null null / + null null null null instancia.d[tarea] 0.9 intervalo.inicio instancia.p[tarea] ;
1698.76;1724.066;9;4;1;8419;(0.7/(Math.max((instancia.d[tarea]/0.9),(intervalo.inicio+instancia.p[tarea]))));/ 0.7 Math.max null null / + null null null null instancia.d[tarea] 0.9 intervalo.inicio instancia.p[tarea] ;
1698.76;1724.066;9;4;2;9430;(0.7/(Math.max((instancia.d[tarea]/0.9),(intervalo.inicio+instancia.p[tarea]))));/ 0.7 Math.max null null / + null null null null instancia.d[tarea] 0.9 intervalo.inicio instancia.p[tarea] ;
1698.76;1724.066;9;4;2;10420;(0.7/(Math.max((instancia.d[tarea]/0.9),(intervalo.inicio+instancia.p[tarea]))));/ 0.7 Math.max null null / + null null null null instancia.d[tarea] 0.9 intervalo.inicio instancia.p[tarea] ;
1698.76;1724.066;9;4;2;11396;(0.7/(Math.max((instancia.d[tarea]/0.9),(intervalo.inicio+instancia.p[tarea]))));/ 0.7 Math.max null null / + null null null null instancia.d[tarea] 0.9 intervalo.inicio instancia.p[tarea] ;
1698.76;1724.066;9;4;2;12332;(0.7/(Math.max((instancia.d[tarea]/0.9),(intervalo.inicio+instancia.p[tarea]))));/ 0.7 Math.max null null / + null null null null instancia.d[tarea] 0.9 intervalo.inicio instancia.p[tarea] ;
1698.76;1724.066;9;4;2;13280;(0.7/(Math.max((instancia.d[tarea]/0.9),(intervalo.inicio+instancia.p[tarea]))));/ 0.7 Math.max null null / + null null null null instancia.d[tarea] 0.9 intervalo.inicio instancia.p[tarea] ;
1698.76;1724.066;9;4;2;14184;(0.7/(Math.max((instancia.d[tarea]/0.9),(intervalo.inicio+instancia.p[tarea]))));/ 0.7 Math.max null null / + null null null null instancia.d[tarea] 0.9 intervalo.inicio instancia.p[tarea] ;
1698.76;1724.066;9;4;2;15164;(0.7/(Math.max((instancia.d[tarea]/0.9),(intervalo.inicio+instancia.p[tarea]))));/ 0.7 Math.max null null / + null null null null instancia.d[tarea] 0.9 intervalo.inicio instancia.p[tarea] ;
1698.76;1724.066;9;4;2;16136;(0.7/(Math.max((instancia.d[tarea]/0.9),(intervalo.inicio+instancia.p[tarea]))));/ 0.7 Math.max null null / + null null null null instancia.d[tarea] 0.9 intervalo.inicio instancia.p[tarea] ;
1698.76;1724.066;9;4;2;17005;(0.7/(Math.max((instancia.d[tarea]/0.9),(intervalo.inicio+instancia.p[tarea]))));/ 0.7 Math.max null null / + null null null null instancia.d[tarea] 0.9 intervalo.inicio instancia.p[tarea] ;
1698.76;1724.066;9;4;2;17933;(0.7/(Math.max((instancia.d[tarea]/0.9),(intervalo.inicio+instancia.p[tarea]))));/ 0.7 Math.max null null / + null null null null instancia.d[tarea] 0.9 intervalo.inicio instancia.p[tarea] ;
1698.76;1724.066;9;4;2;18805;(0.7/(Math.max((instancia.d[tarea]/0.9),(intervalo.inicio+instancia.p[tarea]))));/ 0.7 Math.max null null / + null null null null instancia.d[tarea] 0.9 intervalo.inicio instancia.p[tarea] ;
1698.76;1724.066;9;4;3;19631;(0.7/(Math.max((instancia.d[tarea]/0.9),(intervalo.inicio+instancia.p[tarea]))));/ 0.7 Math.max null null / + null null null null instancia.d[tarea] 0.9 intervalo.inicio instancia.p[tarea] ;
1698.76;1724.066;9;4;3;20410;(0.7/(Math.max((instancia.d[tarea]/0.9),(intervalo.inicio+instancia.p[tarea]))));/ 0.7 Math.max null null / + null null null null instancia.d[tarea] 0.9 intervalo.inicio instancia.p[tarea] ;
1698.76;1724.066;9;4;3;21236;(0.7/(Math.max((instancia.d[tarea]/0.9),(intervalo.inicio+instancia.p[tarea]))));/ 0.7 Math.max null null / + null null null null instancia.d[tarea] 0.9 intervalo.inicio instancia.p[tarea] ;
1698.76;1724.066;9;4;3;21958;(0.7/(Math.max((instancia.d[tarea]/0.9),(intervalo.inicio+instancia.p[tarea]))));/ 0.7 Math.max null null / + null null null null instancia.d[tarea] 0.9 intervalo.inicio instancia.p[tarea] ;
1694.66;1715.768;11;4;3;22716;(Math.min((intervalo.inicio-instancia.d[tarea]),((instancia.p[tarea]*0.3)-(Math.min(intervalo.inicio,instancia.p[tarea])))));Math.min - - intervalo.inicio instancia.d[tarea] * Math.min null null null null instancia.p[tarea] 0.3 intervalo.inicio instancia.p[tarea] ;
1673.14;1710.477;9;4;3;23484;(Math.min((intervalo.inicio-instancia.d[tarea]),((instancia.p[tarea]*0.3)-instancia.p[tarea])));Math.min - - intervalo.inicio instancia.d[tarea] * instancia.p[tarea] null null null null instancia.p[tarea] 0.3 null null ;
1672.98;1711.469;11;4;3;24181;(Math.min((intervalo.inicio-(Math.max(instancia.d[tarea],promedioDuraciones()))),((instancia.p[tarea]*0.3)-instancia.p[tarea])));Math.min - - intervalo.inicio Math.max * instancia.p[tarea] null null instancia.d[tarea] promedioDuraciones() instancia.p[tarea] 0.3 null null ;
1672.98;1711.469;11;4;3;24855;(Math.min((intervalo.inicio-(Math.max(instancia.d[tarea],promedioDuraciones()))),((instancia.p[tarea]*0.3)-instancia.p[tarea])));Math.min - - intervalo.inicio Math.max * instancia.p[tarea] null null instancia.d[tarea] promedioDuraciones() instancia.p[tarea] 0.3 null null ;
1672.98;1711.469;11;4;3;25529;(Math.min((intervalo.inicio-(Math.max(instancia.d[tarea],promedioDuraciones()))),((instancia.p[tarea]*0.3)-instancia.p[tarea])));Math.min - - intervalo.inicio Math.max * instancia.p[tarea] null null instancia.d[tarea] promedioDuraciones() instancia.p[tarea] 0.3 null null ;
1657.44;1679.111;12;4;3;26196;(((instancia.p[tarea]*0.3)/(Math.sqrt(0.2)))-(Math.max(instancia.d[tarea],(intervalo.inicio+instancia.p[tarea]))));- / Math.max * Math.sqrt instancia.d[tarea] + instancia.p[tarea] 0.3 0.2 null null null intervalo.inicio instancia.p[tarea] ;
1657.44;1679.111;12;4;3;26844;(((instancia.p[tarea]*0.3)/(Math.sqrt(0.2)))-(Math.max(instancia.d[tarea],(intervalo.inicio+instancia.p[tarea]))));- / Math.max * Math.sqrt instancia.d[tarea] + instancia.p[tarea] 0.3 0.2 null null null intervalo.inicio instancia.p[tarea] ;
1657.44;1679.111;12;4;3;27529;(((instancia.p[tarea]*0.3)/(Math.sqrt(0.2)))-(Math.max(instancia.d[tarea],(intervalo.inicio+instancia.p[tarea]))));- / Math.max * Math.sqrt instancia.d[tarea] + instancia.p[tarea] 0.3 0.2 null null null intervalo.inicio instancia.p[tarea] ;
1657.44;1679.111;12;4;3;28206;(((instancia.p[tarea]*0.3)/(Math.sqrt(0.2)))-(Math.max(instancia.d[tarea],(intervalo.inicio+instancia.p[tarea]))));- / Math.max * Math.sqrt instancia.d[tarea] + instancia.p[tarea] 0.3 0.2 null null null intervalo.inicio instancia.p[tarea] ;
1657.44;1679.111;12;4;3;28866;(((instancia.p[tarea]*0.3)/(Math.sqrt(0.2)))-(Math.max(instancia.d[tarea],(intervalo.inicio+instancia.p[tarea]))));- / Math.max * Math.sqrt instancia.d[tarea] + instancia.p[tarea] 0.3 0.2 null null null intervalo.inicio instancia.p[tarea] ;
