Train;Test;Size;Depth;Generaciones;Distintos;Regla;Monticulo;
1921.24;1938.923;15;4;1;904;(((0.8-0.1)/(instancia.d[tarea]/0.9))*((Math.max(instancia.p[tarea],instancia.p[tarea]))/(0.9*instancia.p[tarea])));* / / - / Math.max * 0.8 0.1 instancia.d[tarea] 0.9 instancia.p[tarea] instancia.p[tarea] 0.9 instancia.p[tarea] ;
1915.2;1926.388;15;4;1;1767;(Math.max(((Math.min(intervalo.inicio,promedioDuraciones()))-(instancia.p[tarea]*0.3)),((promedioDuraciones()-instancia.d[tarea])+(promedioDuraciones()/0.1))));Math.max - + Math.min * - / intervalo.inicio promedioDuraciones() instancia.p[tarea] 0.3 promedioDuraciones() instancia.d[tarea] promedioDuraciones() 0.1 ;
1855.04;1873.677;15;4;1;2639;(Math.max(((intervalo.inicio/0.6)-(instancia.d[tarea]+instancia.p[tarea])),((promedioDuraciones()-instancia.d[tarea])+(promedioDuraciones()/0.1))));Math.max - + / + - / intervalo.inicio 0.6 instancia.d[tarea] instancia.p[tarea] promedioDuraciones() instancia.d[tarea] promedioDuraciones() 0.1 ;
1855.04;1873.677;15;4;1;3644;(Math.max(((intervalo.inicio/0.6)-(instancia.d[tarea]+instancia.p[tarea])),((promedioDuraciones()-instancia.d[tarea])+(promedioDuraciones()/0.1))));Math.max - + / + - / intervalo.inicio 0.6 instancia.d[tarea] instancia.p[tarea] promedioDuraciones() instancia.d[tarea] promedioDuraciones() 0.1 ;
1698.76;1724.066;9;4;1;4716;(promedioDuraciones()/(Math.max((instancia.d[tarea]/0.9),(intervalo.inicio+instancia.p[tarea]))));/ promedioDuraciones() Math.max null null / + null null null null instancia.d[tarea] 0.9 intervalo.inicio instancia.p[tarea] ;
1698.76;1724.066;9;4;1;5739;(promedioDuraciones()/(Math.max((instancia.d[tarea]/0.9),(intervalo.inicio+instancia.p[tarea]))));/ promedioDuraciones() Math.max null null / + null null null null instancia.d[tarea] 0.9 intervalo.inicio instancia.p[tarea] ;
1698.76;1724.066;9;4;1;6753;(promedioDuraciones()/(Math.max((instancia.d[tarea]/0.9),(intervalo.inicio+instancia.p[tarea]))));/ promedioDuraciones() Math.max null null / + null null null null instancia.d[tarea] 0.9 intervalo.inicio instancia.p[tarea] ;
1698.76;1724.066;9;4;1;7821;(promedioDuraciones()/(Math.max((instancia.d[tarea]/0.9),(intervalo.inicio+instancia.p[tarea]))));/ promedioDuraciones() Math.max null null / + null null null null instancia.d[tarea] 0.9 intervalo.inicio instancia.p[tarea] ;
1698.76;1724.066;9;4;1;8849;(promedioDuraciones()/(Math.max((instancia.d[tarea]/0.9),(intervalo.inicio+instancia.p[tarea]))));/ promedioDuraciones() Math.max null null / + null null null null instancia.d[tarea] 0.9 intervalo.inicio instancia.p[tarea] ;
1698.76;1724.066;9;4;1;9837;(promedioDuraciones()/(Math.max((instancia.d[tarea]/0.9),(intervalo.inicio+instancia.p[tarea]))));/ promedioDuraciones() Math.max null null / + null null null null instancia.d[tarea] 0.9 intervalo.inicio instancia.p[tarea] ;
1698.76;1724.066;9;4;1;10851;(promedioDuraciones()/(Math.max((instancia.d[tarea]/0.9),(intervalo.inicio+instancia.p[tarea]))));/ promedioDuraciones() Math.max null null / + null null null null instancia.d[tarea] 0.9 intervalo.inicio instancia.p[tarea] ;
1698.76;1724.066;9;4;1;11846;(promedioDuraciones()/(Math.max((instancia.d[tarea]/0.9),(intervalo.inicio+instancia.p[tarea]))));/ promedioDuraciones() Math.max null null / + null null null null instancia.d[tarea] 0.9 intervalo.inicio instancia.p[tarea] ;
