Train;Test;Size;Depth;Generaciones;Distintos;Regla;Monticulo;
1898.0;1915.774;13;4;6;846;((0.1/(instancia.d[tarea]*instancia.p[tarea]))+((instancia.p[tarea]/promedioDuraciones())/(instancia.p[tarea]*instancia.d[tarea])));+ / / 0.1 * / * null null instancia.d[tarea] instancia.p[tarea] instancia.p[tarea] promedioDuraciones() instancia.p[tarea] instancia.d[tarea] ;
1771.92;1771.224;15;4;14;1718;(((instancia.d[tarea]*0.8)*(0.3/instancia.d[tarea]))/(Math.max((intervalo.inicio+instancia.p[tarea]),(Math.max(instancia.d[tarea],promedioDuraciones())))));/ * Math.max * / + Math.max instancia.d[tarea] 0.8 0.3 instancia.d[tarea] intervalo.inicio instancia.p[tarea] instancia.d[tarea] promedioDuraciones() ;
1771.92;1771.224;15;4;22;2567;(((instancia.d[tarea]*0.8)*(0.3/instancia.d[tarea]))/(Math.max((intervalo.inicio+instancia.p[tarea]),(Math.max(instancia.d[tarea],promedioDuraciones())))));/ * Math.max * / + Math.max instancia.d[tarea] 0.8 0.3 instancia.d[tarea] intervalo.inicio instancia.p[tarea] instancia.d[tarea] promedioDuraciones() ;
1771.7;1771.091;13;4;31;3417;((instancia.d[tarea]*(0.3/instancia.d[tarea]))/(Math.max((intervalo.inicio+instancia.p[tarea]),(Math.max(instancia.d[tarea],promedioDuraciones())))));/ * Math.max instancia.d[tarea] / + Math.max null null 0.3 instancia.d[tarea] intervalo.inicio instancia.p[tarea] instancia.d[tarea] promedioDuraciones() ;
1771.7;1771.457;9;4;40;4255;(0.3/(Math.max((intervalo.inicio+instancia.p[tarea]),(Math.max(instancia.d[tarea],promedioDuraciones())))));/ 0.3 Math.max null null + Math.max null null null null intervalo.inicio instancia.p[tarea] instancia.d[tarea] promedioDuraciones() ;
1754.72;1769.263;13;4;49;5065;(((Math.min(instancia.d[tarea],instancia.d[tarea]))/(instancia.p[tarea]*instancia.p[tarea]))*((promedioDuraciones()+intervalo.inicio)-instancia.d[tarea]));* / - Math.min * + instancia.d[tarea] instancia.d[tarea] instancia.d[tarea] instancia.p[tarea] instancia.p[tarea] promedioDuraciones() intervalo.inicio null null ;
1730.88;1767.05;15;4;59;5858;(((Math.min(instancia.d[tarea],instancia.d[tarea]))/(promedioDuraciones()*instancia.p[tarea]))*((promedioDuraciones()+intervalo.inicio)-(Math.max(instancia.d[tarea],intervalo.inicio))));* / - Math.min * + Math.max instancia.d[tarea] instancia.d[tarea] promedioDuraciones() instancia.p[tarea] promedioDuraciones() intervalo.inicio instancia.d[tarea] intervalo.inicio ;
1728.78;1766.43;15;4;67;6565;(((Math.max(instancia.d[tarea],promedioDuraciones()))/(promedioDuraciones()*instancia.p[tarea]))*((promedioDuraciones()+intervalo.inicio)-(Math.max(instancia.d[tarea],intervalo.inicio))));* / - Math.max * + Math.max instancia.d[tarea] promedioDuraciones() promedioDuraciones() instancia.p[tarea] promedioDuraciones() intervalo.inicio instancia.d[tarea] intervalo.inicio ;
1728.78;1766.43;15;4;74;7236;(((Math.max(instancia.d[tarea],promedioDuraciones()))/(promedioDuraciones()*instancia.p[tarea]))*((promedioDuraciones()+intervalo.inicio)-(Math.max(instancia.d[tarea],intervalo.inicio))));* / - Math.max * + Math.max instancia.d[tarea] promedioDuraciones() promedioDuraciones() instancia.p[tarea] promedioDuraciones() intervalo.inicio instancia.d[tarea] intervalo.inicio ;
1728.78;1766.43;15;4;84;7886;(((Math.max(instancia.d[tarea],promedioDuraciones()))/(promedioDuraciones()*instancia.p[tarea]))*((promedioDuraciones()+intervalo.inicio)-(Math.max(instancia.d[tarea],intervalo.inicio))));* / - Math.max * + Math.max instancia.d[tarea] promedioDuraciones() promedioDuraciones() instancia.p[tarea] promedioDuraciones() intervalo.inicio instancia.d[tarea] intervalo.inicio ;
